ID,Diet,How Often Shower,Heating Energy Source,Social Activity,Monthly Grocery Bill,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With
48,pescatarian,twice a day,electricity,never,124,1,11,5,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']"
49,vegetarian,more frequently,natural gas,sometimes,276,19,5,12,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
50,vegan,daily,wood,never,90,22,7,9,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']"
51,vegan,less frequently,natural gas,sometimes,136,0,43,24,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']"
52,vegan,daily,electricity,sometimes,246,22,43,7,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
53,pescatarian,less frequently,wood,often,94,18,10,21,Yes,"['Paper', 'Glass']",['Oven']
54,vegetarian,more frequently,electricity,never,253,0,11,20,Sometimes,"['Paper', 'Glass', 'Metal']",['Stove']
55,omnivore,more frequently,natural gas,never,200,13,18,0,Sometimes,['Metal'],"['Stove', 'Microwave']"
56,vegan,less frequently,coal,sometimes,281,4,38,5,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']"
57,vegetarian,less frequently,electricity,sometimes,82,14,18,17,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']"
58,pescatarian,more frequently,coal,often,73,9,30,12,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
59,vegetarian,daily,natural gas,often,246,0,36,3,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave']"
60,pescatarian,less frequently,natural gas,sometimes,98,1,49,20,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
61,pescatarian,twice a day,electricity,never,256,23,33,8,Sometimes,[],['Stove']
62,vegetarian,less frequently,electricity,often,287,21,21,3,Yes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
63,omnivore,daily,electricity,never,63,1,6,14,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
64,vegetarian,less frequently,coal,often,158,24,33,2,No,['Glass'],['Stove']
65,omnivore,twice a day,electricity,often,241,24,15,10,Yes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
66,vegetarian,twice a day,coal,never,176,11,41,19,Yes,['Paper'],"['Stove', 'Oven']"
67,vegetarian,less frequently,wood,often,1,0,35,3,Sometimes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']"
68,vegetarian,less frequently,natural gas,often,214,20,12,24,Yes,['Glass'],"['Stove', 'Microwave']"
69,vegan,daily,electricity,sometimes,264,7,22,17,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
70,omnivore,twice a day,coal,sometimes,213,16,43,9,No,"['Paper', 'Plastic']","['Stove', 'Oven']"
71,omnivore,twice a day,coal,often,281,16,8,22,Sometimes,"['Plastic', 'Metal']",['Stove']
72,vegan,less frequently,natural gas,sometimes,280,2,30,1,Yes,['Plastic'],['Oven']
73,omnivore,more frequently,natural gas,never,125,4,15,23,No,['Metal'],"['Oven', 'Microwave']"
74,vegan,daily,electricity,never,188,11,21,3,No,['Paper'],"['Oven', 'Grill', 'Airfryer']"
75,omnivore,daily,wood,often,251,12,47,3,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']"
76,pescatarian,daily,wood,never,285,21,24,9,Yes,['Plastic'],"['Grill', 'Airfryer']"
77,vegan,more frequently,wood,never,234,20,36,5,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
78,vegan,daily,natural gas,sometimes,91,8,43,2,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']"
79,omnivore,daily,natural gas,never,118,6,10,16,No,['Paper'],"['Stove', 'Oven']"
80,vegetarian,twice a day,natural gas,never,75,15,42,16,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']"
81,vegetarian,more frequently,electricity,never,134,19,35,10,No,['Glass'],"['Oven', 'Grill', 'Airfryer']"
82,pescatarian,daily,wood,often,282,7,11,8,No,"['Plastic', 'Glass']","['Grill', 'Airfryer']"
83,vegetarian,less frequently,electricity,often,110,7,2,18,No,['Paper'],"['Stove', 'Oven']"
84,vegetarian,less frequently,natural gas,never,202,9,16,14,Yes,[],"['Grill', 'Airfryer']"
85,pescatarian,less frequently,electricity,never,56,22,8,15,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']"
86,vegan,twice a day,electricity,often,223,12,35,22,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
87,vegetarian,more frequently,wood,often,202,17,37,2,No,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']"
88,vegetarian,daily,wood,sometimes,114,1,41,23,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']"
89,omnivore,daily,wood,often,141,7,21,1,Yes,"['Paper', 'Plastic']",[]
90,vegan,twice a day,coal,sometimes,236,19,15,10,Yes,"['Plastic', 'Metal']",[]
91,omnivore,daily,coal,sometimes,95,15,31,14,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
92,vegetarian,more frequently,electricity,never,249,6,2,4,Sometimes,['Paper'],['Microwave']
93,pescatarian,daily,natural gas,often,213,24,17,16,Yes,"['Plastic', 'Glass']",['Microwave']
94,vegetarian,twice a day,wood,never,81,16,31,15,No,"['Plastic', 'Glass']",[]
95,vegetarian,more frequently,coal,never,8000,13,29,24,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
96,vegan,twice a day,wood,sometimes,291,2,23,23,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']"
97,pescatarian,twice a day,electricity,sometimes,70,9,7,20,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']"
98,pescatarian,more frequently,natural gas,often,89,2,0,18,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
99,vegan,twice a day,electricity,never,121,15,16,18,Sometimes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']"
100,omnivore,daily,coal,often,198,12,45,17,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']"
101,vegetarian,more frequently,wood,never,234,15,29,3,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']"
102,vegetarian,less frequently,wood,sometimes,84,0,1,1,Sometimes,"['Glass', 'Metal']","['Grill', 'Airfryer']"
103,vegan,twice a day,coal,often,182,10,9,1,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
104,pescatarian,less frequently,wood,often,275,19,49,19,Yes,['Paper'],['Stove']
105,pescatarian,more frequently,coal,sometimes,2452,1,35,7,Sometimes,['Glass'],"['Stove', 'Microwave']"
106,vegan,more frequently,wood,never,140,9,24,24,No,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
107,vegetarian,more frequently,electricity,sometimes,232,22,8,1,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']"
108,pescatarian,twice a day,electricity,often,115,21,13,9,No,"['Paper', 'Metal']","['Stove', 'Microwave']"
109,vegan,daily,natural gas,never,157,2,44,12,Sometimes,"['Plastic', 'Glass']",['Microwave']
110,pescatarian,twice a day,coal,sometimes,156,14,20,23,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
111,pescatarian,daily,coal,often,230,7,26,1,No,['Metal'],"['Stove', 'Oven']"
112,vegetarian,less frequently,natural gas,often,114,26,38,5,No,['Metal'],"['Stove', 'Microwave']"
113,omnivore,more frequently,wood,never,138,14,47,6,Sometimes,['Metal'],"['Oven', 'Microwave']"
114,omnivore,twice a day,wood,sometimes,157,20,5,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
115,vegetarian,daily,coal,often,266,3,5,6,Yes,['Paper'],['Oven']
116,vegetarian,less frequently,wood,sometimes,144,22,18,9,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']"
117,vegan,less frequently,wood,never,56,9,11,19,Sometimes,[],"['Grill', 'Airfryer']"
118,vegan,more frequently,coal,sometimes,59,5,39,15,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']"
119,omnivore,daily,wood,never,200,3,31,15,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']"
120,pescatarian,daily,wood,often,135,8,23,18,Sometimes,['Glass'],"['Microwave', 'Grill', 'Airfryer']"
121,vegetarian,more frequently,wood,never,146,12,27,21,No,"['Paper', 'Plastic']","['Stove', 'Microwave']"
122,vegetarian,more frequently,coal,never,111,9,4,4,Sometimes,[],"['Stove', 'Oven', 'Microwave']"
123,omnivore,twice a day,coal,often,114,18,27,4,Yes,['Plastic'],['Stove']
124,vegan,less frequently,electricity,sometimes,111,13,16,10,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
125,pescatarian,less frequently,natural gas,often,123,13,23,8,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']"
126,vegetarian,less frequently,electricity,never,225,9,24,15,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']"
127,pescatarian,more frequently,electricity,often,219,23,42,14,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
128,pescatarian,daily,wood,often,104,1,6,22,Yes,['Paper'],"['Stove', 'Grill', 'Airfryer']"
129,vegan,more frequently,electricity,often,126,6,37,9,Sometimes,[],['Stove']
130,omnivore,more frequently,wood,often,288,15,22,6,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']"
131,vegan,twice a day,electricity,often,6786,0,8,25,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']"
132,pescatarian,less frequently,wood,never,69,6,3,7,No,['Metal'],"['Stove', 'Oven', 'Microwave']"
133,omnivore,twice a day,wood,sometimes,110,14,4,3,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
134,vegetarian,daily,coal,often,165,17,24,20,Yes,"['Paper', 'Glass']",['Microwave']
135,vegan,daily,coal,sometimes,62,25,20,20,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']"
136,pescatarian,less frequently,electricity,sometimes,94,17,0,3,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
137,vegan,daily,electricity,often,259,4,50,23,Sometimes,['Metal'],"['Oven', 'Grill', 'Airfryer']"
138,vegetarian,less frequently,electricity,sometimes,67,14,37,14,Sometimes,['Plastic'],['Stove']
139,pescatarian,daily,wood,never,130,10,15,10,No,['Glass'],"['Oven', 'Grill', 'Airfryer']"
140,omnivore,less frequently,electricity,never,258,13,44,4,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
141,vegan,more frequently,wood,sometimes,189,23,34,10,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
142,vegetarian,daily,coal,sometimes,262,24,8,15,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']"
143,pescatarian,daily,natural gas,never,157,1,42,22,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
144,pescatarian,daily,wood,often,280,9,0,4,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
145,vegetarian,twice a day,coal,sometimes,121,11,4,10,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
146,vegan,less frequently,coal,often,174,47,40,15,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']"
147,vegetarian,daily,electricity,sometimes,173,16,14,20,Sometimes,"['Plastic', 'Glass']",[]
148,vegan,twice a day,natural gas,sometimes,199,17,6,15,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
149,omnivore,less frequently,wood,never,94,15,,17,Sometimes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
150,pescatarian,less frequently,coal,never,64,19,,16,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
151,omnivore,twice a day,electricity,never,100,20,,5,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
152,vegetarian,more frequently,coal,often,240,15,19,5,No,"['Glass', 'Metal']","['Stove', 'Oven']"
153,omnivore,daily,electricity,sometimes,245,14,48,10,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
154,pescatarian,daily,coal,sometimes,270,22,21,11,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
155,omnivore,daily,wood,often,294,16,20,18,Yes,['Glass'],[]
156,vegetarian,more frequently,wood,never,87,0,11,24,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
157,pescatarian,less frequently,wood,never,209,13,43,3,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
158,pescatarian,twice a day,electricity,never,124,1,11,5,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']"
159,vegetarian,more frequently,natural gas,sometimes,276,19,5,12,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
160,vegan,daily,wood,never,90,22,7,9,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']"
161,vegan,less frequently,natural gas,sometimes,136,0,43,24,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']"
162,vegan,daily,electricity,sometimes,343,22,43,7,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
163,pescatarian,less frequently,wood,often,94,18,10,21,Yes,"['Paper', 'Glass']",
164,vegetarian,,electricity,never,253,0,11,20,Sometimes,"['Paper', 'Glass', 'Metal']",
165,omnivore,,natural gas,never,200,13,18,74,Sometimes,['Metal'],
166,vegan,less frequently,coal,sometimes,281,4,38,5,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']"
167,vegetarian,less frequently,electricity,sometimes,82,14,18,17,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']"
168,pescatarian,more frequently,coal,often,73,9,30,12,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
169,vegetarian,daily,natural gas,often,246,0,36,3,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave']"
170,pescatarian,less frequently,natural gas,sometimes,98,1,49,20,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
171,pescatarian,twice a day,electricity,never,256,23,33,8,Sometimes,[],['Stove']
172,vegetarian,less frequently,electricity,often,287,21,21,3,Yes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
173,omnivore,daily,electricity,never,63,1,6,14,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
174,vegetarian,less frequently,coal,often,158,24,33,2,No,['Glass'],['Stove']
175,omnivore,,electricity,often,241,24,15,10,Yes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
176,vegetarian,,coal,never,176,11,41,19,Yes,['Paper'],"['Stove', 'Oven']"
177,vegetarian,,wood,often,189,0,35,86,Sometimes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']"
178,vegetarian,less frequently,natural gas,often,214,20,12,24,Yes,['Glass'],"['Stove', 'Microwave']"
179,vegan,daily,electricity,sometimes,264,7,22,17,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
180,omnivore,twice a day,coal,sometimes,213,16,43,9,No,"['Paper', 'Plastic']","['Stove', 'Oven']"
181,omnivore,twice a day,coal,often,281,16,8,22,Sometimes,"['Plastic', 'Metal']",['Stove']
182,vegan,less frequently,natural gas,sometimes,280,2,30,1,Yes,['Plastic'],['Oven']
183,omnivore,more frequently,natural gas,never,125,4,15,23,No,['Metal'],"['Oven', 'Microwave']"
184,vegan,daily,electricity,never,188,11,21,3,No,['Paper'],"['Oven', 'Grill', 'Airfryer']"
185,omnivore,daily,wood,often,5745,,47,3,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']"
186,pescatarian,daily,wood,never,285,,24,9,Yes,['Plastic'],"['Grill', 'Airfryer']"
187,vegan,more frequently,wood,never,234,,36,5,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
188,vegan,daily,natural gas,sometimes,91,8,43,2,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']"
189,omnivore,daily,natural gas,never,118,6,10,16,No,['Paper'],"['Stove', 'Oven']"
190,vegetarian,twice a day,natural gas,never,75,15,42,16,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']"
191,vegetarian,more frequently,electricity,never,134,19,35,10,,['Glass'],"['Oven', 'Grill', 'Airfryer']"
192,pescatarian,daily,wood,often,282,7,11,8,,"['Plastic', 'Glass']","['Grill', 'Airfryer']"
193,vegetarian,less frequently,electricity,often,110,7,2,18,,['Paper'],"['Stove', 'Oven']"
194,vegetarian,less frequently,natural gas,never,202,9,16,14,Yes,[],"['Grill', 'Airfryer']"
195,pescatarian,less frequently,electricity,never,56,22,8,15,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']"
196,vegan,twice a day,electricity,often,223,12,35,34,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
197,vegetarian,more frequently,wood,often,202,17,37,2,No,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']"
198,vegetarian,daily,wood,sometimes,114,1,41,23,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']"
199,omnivore,daily,wood,often,141,7,21,1,Yes,"['Paper', 'Plastic']",[]
200,vegan,twice a day,coal,sometimes,236,19,15,10,Yes,"['Plastic', 'Metal']",[]
201,omnivore,daily,coal,sometimes,95,15,31,14,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
202,vegetarian,more frequently,electricity,never,249,6,2,4,Sometimes,['Paper'],['Microwave']
203,pescatarian,daily,natural gas,often,213,24,17,16,Yes,"['Plastic', 'Glass']",['Microwave']
204,vegetarian,twice a day,wood,never,81,16,31,15,No,"['Plastic', 'Glass']",[]
205,vegetarian,more frequently,coal,never,91,13,29,24,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
206,vegan,twice a day,wood,sometimes,291,2,23,23,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']"
207,pescatarian,twice a day,electricity,sometimes,70,9,7,20,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']"
208,pescatarian,more frequently,natural gas,often,89,2,0,18,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
209,vegan,twice a day,electricity,never,121,15,16,18,Sometimes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']"
210,omnivore,daily,coal,often,198,12,45,17,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']"
211,vegetarian,more frequently,wood,never,234,15,29,3,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']"
212,vegetarian,less frequently,wood,sometimes,84,0,1,1,Sometimes,"['Glass', 'Metal']","['Grill', 'Airfryer']"
213,vegan,twice a day,coal,often,182,10,9,1,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
214,pescatarian,less frequently,wood,often,275,19,49,19,Yes,['Paper'],['Stove']
215,,more frequently,coal,sometimes,228,1,35,7,Sometimes,['Glass'],"['Stove', 'Microwave']"
216,vegan,more frequently,wood,never,140,9,24,24,No,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
217,vegetarian,more frequently,electricity,sometimes,232,22,,1,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']"
218,pescatarian,twice a day,electricity,often,115,35,,75,No,"['Paper', 'Metal']","['Stove', 'Microwave']"
219,vegan,daily,natural gas,never,157,2,44,12,Sometimes,"['Plastic', 'Glass']",['Microwave']
220,pescatarian,twice a day,coal,sometimes,156,14,20,23,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
221,,daily,wood,often,252,8,43,20,Yes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']"
222,vegan,daily,electricity,never,162,2,26,16,No,[],['Microwave']
223,vegetarian,daily,wood,never,145,21,14,16,No,"['Plastic', 'Metal']","['Oven', 'Microwave']"
224,omnivore,daily,electricity,never,214,24,32,23,No,['Plastic'],['Microwave']
