ID,Waste Bag Size,Waste Bag Weekly Count
1122,large,1
1123,small,4
1124,small,3
1125,extra large,2
1126,small,1
1127,medium,4
1128,large,5
1129,large,7
1130,extra large,7
1131,extra large,4
1132,medium,2
1133,extra large,7
1134,medium,3
1135,small,6
1136,small,4
1137,extra large,7
1138,extra large,5
1139,extra large,5
1140,medium,2
1141,large,2
1142,large,5
1143,large,3
1144,extra large,4
1145,small,3
1146,extra large,2
1147,large,6
1148,large,3
1149,medium,6
1150,medium,4
1151,small,3
1152,medium,1
1153,large,2
1154,medium,4
1155,large,5
1156,large,5
1157,medium,7
1158,large,1
1159,extra large,6
1160,large,5
1161,extra large,5
1162,large,5
1163,medium,5
1164,extra large,6
1165,medium,6
1166,large,6
1167,medium,2
1168,small,3
1169,extra large,5
1170,extra large,6
1171,medium,7
1172,medium,1
1173,small,4
1174,large,5
1175,large,3
1176,small,4
1177,small,3
1178,large,2
1179,small,4
1180,small,4
1181,large,4
1182,medium,6
1183,medium,2
1184,extra large,2
1185,small,5
1186,large,6
1187,medium,7
1188,medium,6
1189,medium,4
1190,medium,3
1191,small,2
1192,medium,2
1193,large,7
1194,small,4
1195,extra large,6
1196,large,6
1197,extra large,3
1198,medium,5
1199,large,3
1200,extra large,3
1201,extra large,5
1202,large,4
1203,medium,6
1204,large,7
1205,medium,3
1206,medium,3
1207,extra large,2
1208,extra large,7
1209,extra large,3
1210,small,5
1211,large,4
1212,large,1
1213,small,7
1214,medium,1
1215,medium,1
1216,medium,1
1217,extra large,6
1218,medium,1
1219,extra large,5
1220,extra large,6
1221,large,6
1222,medium,2
1223,extra large,5
1224,large,2
1225,large,4
1226,medium,2
1227,small,3
1228,extra large,2
1229,large,6
1230,large,6
1231,extra large,4
1232,extra large,7
1233,small,7
1234,large,3
1235,medium,3
1236,large,3
1237,medium,7
1238,large,5
1239,extra large,4
1240,extra large,1
1241,large,3
1242,medium,1
1243,medium,3
1244,extra large,1
1245,medium,3
1246,medium,1
1247,extra large,5
1248,large,4
1249,small,4
1250,extra large,5
1251,extra large,6
1252,small,5
1253,large,2
1254,small,1
1255,small,7
1256,small,7
1257,extra large,6
1258,small,6
1259,medium,5
1260,extra large,7
1261,small,1
1262,medium,6
1263,small,4
1264,small,4
1265,medium,1
1266,large,3
1267,large,3
1268,medium,5
1269,small,7
1270,large,7
1271,medium,1
1272,extra large,1
1273,small,6
1274,small,7
1275,medium,3
1276,medium,6
1277,extra large,7
1278,extra large,6
1279,small,7
1280,medium,4
1281,extra large,1
1282,medium,2
1283,medium,1
1284,small,1
1285,extra large,3
1286,extra large,2
1287,small,5
1288,large,4
1289,medium,4
1290,small,4
1291,medium,1
1292,large,7
1293,large,4
1294,large,7
1295,extra large,7
1296,large,2
1297,medium,3
1298,small,7
1299,large,4
1300,small,3
1301,extra large,3
1302,small,2
1303,small,6
1304,large,3
1305,small,6
1306,extra large,3
1307,small,6
1308,large,3
1309,large,5
1310,extra large,6
1311,large,1
1312,medium,3
1313,medium,4
1314,medium,7
1315,small,2
1316,large,2
1317,small,1
1318,large,6
1319,small,1
1320,extra large,7
1321,large,5
1322,small,5
1323,small,1
1324,small,2
1325,small,5
1326,large,4
1327,large,7
1328,large,2
1329,small,6
1330,small,5
1331,extra large,4
1332,large,5
1333,medium,7
1334,extra large,4
1335,extra large,1
1336,extra large,1
1337,large,4
1338,small,6
1339,medium,4
1340,small,1
1341,small,7
1342,large,1
1343,extra large,5
1344,small,4
1345,large,5
1346,medium,5
1347,medium,7
1348,small,1
1349,small,3
1350,extra large,3
1351,extra large,1
1352,medium,6
1353,extra large,1
1354,medium,5
1355,large,3
1356,extra large,5
1357,large,6
1358,large,4
1359,extra large,5
1360,large,4
1361,large,4
1362,small,2
1363,large,3
1364,extra large,6
1365,medium,1
1366,large,5
1367,small,5
1368,medium,2
1369,large,4
1370,large,4
1371,large,6
1372,extra large,1
1373,extra large,2
1374,small,5
1375,large,1
1376,large,6
1377,extra large,1
1378,large,6
1379,medium,2
1380,small,1
1381,medium,2
1382,medium,6
1383,extra large,1
1384,extra large,5
1385,large,4
1386,extra large,1
1387,extra large,5
1388,small,2
1389,medium,1
1390,medium,3
1391,extra large,2
1392,small,3
1393,extra large,1
1394,small,5
1395,extra large,1
1396,medium,1
1397,large,2
1398,large,2
1399,medium,4
1400,small,4
1401,large,3
1402,large,1
1403,extra large,4
1404,large,4
1405,large,4
1406,medium,4
1407,small,4
1408,medium,7
1409,large,7
1410,large,6
1411,medium,3
1412,extra large,7
1413,large,1
1414,small,4
1415,large,2
1416,large,2
1417,large,4
1418,small,2
1419,extra large,6
1420,extra large,4
1421,small,1
1422,medium,2
1423,small,3
1424,medium,2
1425,large,4
1426,large,4
1427,medium,3
1428,medium,4
1429,extra large,1
1430,large,6
1431,extra large,6
1432,medium,2
1433,extra large,2
1434,small,1
1435,extra large,1
1436,medium,5
1437,medium,7
1438,small,1
1439,medium,2
1440,medium,7
1441,small,4
1442,small,3
1443,medium,1
1444,extra large,3
1445,extra large,2
1446,extra large,1
1447,extra large,7
1448,large,2
1449,large,3
1450,small,1
1451,medium,7
1452,medium,5
1453,small,3
1454,large,2
1455,medium,1
1456,small,3
1457,extra large,4
1458,extra large,1
1459,small,2
1460,extra large,1
1461,extra large,2
1462,small,6
1463,medium,7
1464,large,1
1465,large,6
1466,small,6
1467,small,6
1468,extra large,5
1469,large,4
1470,extra large,3
1471,medium,6
1472,small,4
1473,medium,5
1474,extra large,2
1475,medium,1
1476,large,1
1477,extra large,6
1478,small,1
1479,large,5
1480,extra large,1
1481,large,6
1482,extra large,6
1483,medium,2
1484,medium,5
1485,large,5
1486,large,6
1487,medium,6
1488,small,2
1489,small,4
1490,medium,5
1491,small,2
1492,small,5
1493,large,4
1494,extra large,2
1495,large,4
1496,medium,7
1497,medium,3
1498,medium,3
1499,medium,3
1500,large,7
1501,large,7
1502,small,4
1503,extra large,2
1504,small,5
1505,extra large,6
1506,small,3
1507,large,5
1508,small,1
1509,small,2
1510,extra large,6
1511,extra large,1
1512,small,7
1513,extra large,4
1514,extra large,2
1515,medium,7
1516,large,3
1517,large,6
1518,extra large,4
1519,small,2
1520,medium,4
1521,medium,6
1522,medium,1
1523,extra large,2
1524,medium,6
1525,large,5
1526,large,1
1527,small,6
1528,medium,7
1529,medium,5
1530,small,7
1531,large,7
1532,large,4
1533,extra large,4
1534,medium,2
1535,small,7
1536,extra large,3
1537,small,1
1538,large,6
1539,medium,6
1540,extra large,1
1541,large,6
1542,small,5
1543,small,5
1544,small,1
1545,medium,4
1546,small,4
1547,large,1
1548,small,2
1549,large,5
1550,extra large,2
1551,extra large,5
1552,extra large,7
1553,large,2
1554,extra large,7
1555,extra large,7
1556,large,7
1557,extra large,1
1558,extra large,7
1559,small,7
1560,medium,2
1561,large,5
1562,small,7
1563,extra large,3
1564,small,1
1565,extra large,7
1566,small,6
1567,small,4
1568,medium,7
1569,extra large,2
1570,medium,1
1571,large,2
1572,extra large,4
1573,medium,5
1574,extra large,3
1575,extra large,5
1576,medium,4
1577,extra large,3
1578,medium,6
1579,extra large,3
1580,small,6
1581,extra large,3
1582,large,4
1583,medium,6
1584,medium,1
1585,small,7
1586,medium,6
1587,medium,5
1588,large,6
1589,large,2
1590,medium,4
1591,extra large,4
1592,large,2
1593,extra large,6
1594,large,2
1595,medium,5
1596,extra large,5
1597,extra large,3
1598,medium,3
1599,large,5
1600,large,4
1601,medium,6
1602,extra large,1
1603,large,6
1604,large,2
1605,medium,7
1606,extra large,6
1607,small,6
1608,medium,6
1609,small,2
1610,medium,6
1611,medium,3
1612,medium,3
1613,large,1
1614,large,7
1615,extra large,6
1616,extra large,1
1617,small,2
1618,small,6
1619,small,4
1620,small,4
1621,extra large,2
1622,medium,6
1623,small,7
1624,extra large,1
1625,medium,5
1626,medium,7
1627,small,6
1628,large,1
1629,small,7
1630,small,4
1631,small,3
1632,large,2
1633,small,6
1634,medium,2
1635,small,1
1636,large,6
1637,small,6
1638,small,6
1639,large,4
1640,medium,7
1641,extra large,1
1642,medium,3
1643,extra large,4
1644,extra large,5
1645,small,3
1646,extra large,2
1647,small,3
1648,large,6
1649,small,4
1650,small,4
1651,small,4
1652,small,4
1653,extra large,3
1654,small,1
1655,large,2
1656,medium,6
1657,medium,3
1658,large,7
1659,extra large,1
1660,medium,3
1661,medium,7
1662,small,1
1663,large,1
1664,extra large,6
1665,large,5
1666,large,4
1667,medium,4
1668,extra large,7
1669,extra large,5
1670,medium,4
1671,medium,5
1672,large,7
1673,extra large,3
1674,small,7
1675,small,6
1676,large,5
1677,large,1
1678,medium,4
1679,large,3
1680,extra large,2
1681,large,7
1682,large,4
1683,small,1
1684,extra large,7
1685,extra large,6
1686,medium,3
1687,small,5
1688,extra large,4
1689,medium,7
1690,small,1
1691,small,1
1692,large,2
1693,large,7
1694,large,6
1695,small,6
1696,large,7
1697,small,7
1698,small,5
1699,large,4
1700,small,2
1701,extra large,3
1702,large,4
1703,extra large,4
1704,small,3
1705,medium,7
1706,medium,3
1707,extra large,1
1708,small,7
1709,large,7
1710,medium,4
1711,large,2
1712,large,7
1713,large,6
1714,medium,4
1715,medium,5
1716,medium,5
1717,small,4
1718,medium,6
1719,extra large,5
1720,medium,4
1721,extra large,7
1722,large,3
1723,large,3
1724,small,5
1725,large,3
1726,medium,5
1727,large,7
1728,small,3
1729,extra large,2
1730,large,1
1731,extra large,4
1732,large,3
1733,small,1
1734,large,6
1735,small,3
1736,medium,1
1737,extra large,7
1738,large,4
1739,medium,2
1740,extra large,6
1741,small,4
1742,small,2
1743,extra large,3
1744,small,5
1745,extra large,4
1746,large,6
1747,extra large,1
1748,large,3
1749,medium,4
1750,large,7
1751,extra large,3
1752,small,2
1753,medium,1
1754,medium,5
1755,extra large,5
1756,extra large,5
1757,extra large,6
1758,large,7
1759,large,2
1760,extra large,4
1761,extra large,7
1762,small,4
1763,extra large,3
1764,small,6
1765,extra large,5
1766,extra large,3
1767,large,2
1768,small,5
1769,extra large,7
1770,medium,4
1771,large,3
1772,extra large,6
1773,medium,4
1774,large,6
1775,small,3
1776,large,1
1777,small,1
1778,large,7
1779,large,6
1780,extra large,2
1781,small,5
1782,large,1
1783,medium,4
1784,medium,5
1785,large,6
1786,small,4
1787,medium,2
1788,extra large,7
1789,medium,7
1790,small,1
1791,large,4
1792,medium,1
1793,extra large,6
1794,small,5
1795,extra large,7
1796,small,7
1797,large,2
1798,large,5
1799,large,3
1800,large,6
1801,large,5
1802,large,6
1803,extra large,7
1804,small,4
1805,small,2
1806,large,5
1807,medium,1
1808,extra large,1
1809,medium,2
1810,small,4
1811,large,1
1812,large,2
1813,small,3
1814,medium,1
1815,extra large,5
1816,small,6
1817,medium,7
1818,large,3
1819,extra large,1
1820,medium,7
1821,large,4
1822,extra large,5
1823,medium,3
1824,extra large,7
1825,large,3
1826,small,2
1827,small,5
1828,medium,4
1829,medium,3
1830,large,7
1831,small,6
1832,extra large,7
1833,extra large,5
1834,small,2
1835,medium,5
1836,large,7
1837,medium,7
1838,small,7
1839,large,3
1840,small,1
1841,medium,3
1842,extra large,6
1843,medium,5
1844,extra large,6
1845,small,5
1846,medium,5
1847,medium,1
1848,extra large,3
1849,small,2
1850,medium,2
1851,large,5
1852,large,2
1853,medium,4
1854,small,6
1855,medium,2
1856,extra large,4
1857,medium,7
1858,small,6
1859,small,7
1860,extra large,2
1861,small,5
1862,large,5
1863,extra large,7
1864,small,4
1865,small,7
1866,extra large,6
1867,large,2
1868,extra large,6
1869,large,2
1870,medium,2
1871,medium,7
1872,small,2
1873,large,2
1874,medium,2
1875,extra large,6
1876,small,6
1877,medium,2
1878,extra large,3
1879,large,7
1880,small,5
1881,extra large,5
1882,medium,3
1883,extra large,1
1884,extra large,4
1885,large,1
1886,medium,4
1887,medium,2
1888,medium,5
1889,extra large,2
1890,extra large,7
1891,large,5
1892,extra large,1
1893,extra large,1
1894,large,6
1895,medium,4
1896,medium,7
1897,medium,2
1898,medium,1
1899,medium,2
1900,small,7
1901,small,1
1902,small,6
1903,extra large,4
1904,small,7
1905,medium,1
1906,small,4
1907,small,4
1908,small,3
1909,large,4
1910,small,1
1911,small,7
1912,medium,3
1913,extra large,2
1914,medium,3
1915,large,3
1916,extra large,6
1917,medium,7
1918,small,4
1919,large,3
1920,large,3
1921,small,5
1922,extra large,3
1923,small,6
1924,extra large,7
1925,medium,7
1926,large,5
1927,medium,7
1928,extra large,4
1929,small,4
1930,medium,7
1931,extra large,4
1932,small,6
1933,extra large,6
1934,small,7
