ID,Body Type,Sex
243,overweight,male
244,normal,male
245,underweight,male
246,obese,male
247,obese,female
248,underweight,female
249,overweight,male
250,obese,female
251,overweight,male
252,underweight,male
253,normal,female
254,underweight,male
255,normal,female
256,normal,female
257,normal,male
258,overweight,female
259,normal,male
260,obese,female
261,normal,male
262,obese,female
263,obese,female
264,normal,female
265,overweight,female
266,normal,female
267,very fat,male
268,normal,female
269,normal,female
270,normal,female
271,normal,m
272,overweight,f
273,normal,female
274,normal,male
275,obese,female
276,normal,male
277,thin,female
278,fat,male
279,normal,male
280,underweight,female
281,overweight,male
282,normal,female
283,underweight,male
284,overweight,female
285,normal,female
286,normal,female
287,overweight,male
288,normal,female
289,underweight,female
290,obese,female
291,obese,male
292,obese,male
293,obese,male
294,normal,male
295,obese,male
296,overweight,female
297,underweight,f
298,overweight,m
299,normal,f
300,normal,female
301,normal,m
302,underweight,f
303,underweight,m
304,obese,f
305,overweight,female
306,overweight,male
307,normal,male
308,underweight,male
309,underweight,female
310,underweight,male
311,normal,female
312,obese,male
313,overweight,female
314,underweight,female
315,underweight,female
316,normal,female
317,underweight,female
318,underweight,female
319,obese,female
320,obese,female
321,normal,female
322,obese,male
323,underweight,male
324,normal,female
325,obese,male
326,obese,male
327,obese,female
328,underweight,male
329,underweight,female
330,underweight,male
331,obese,male
332,overweight,male
333,normal,male
334,underweight,male
335,obese,male
336,obese,female
337,underweight,female
338,overweight,male
339,obese,female
340,overweight,male
341,underweight,male
342,normal,female
343,underweight,male
344,normal,female
345,normal,female
346,normal,male
347,overweight,female
348,normal,male
349,obese,female
350,normal,male
351,obese,female
352,obese,female
353,normal,female
354,overweight,female
355,normal,female
356,obese,male
357,normal,female
358,normal,female
359,normal,female
360,normal,male
361,overweight,female
362,normal,female
363,normal,male
364,obese,female
365,normal,male
366,underweight,female
367,overweight,male
368,normal,male
369,underweight,female
370,overweight,male
371,normal,female
372,underweight,male
373,overweight,female
374,normal,female
375,normal,female
376,overweight,male
377,normal,female
378,underweight,female
379,obese,female
380,obese,male
381,obese,male
382,obese,male
383,normal,male
384,obese,male
385,overweight,female
386,underweight,female
387,overweight,male
388,normal,female
389,normal,female
390,normal,male
391,underweight,female
392,underweight,male
393,obese,female
394,overweight,female
395,overweight,male
396,normal,male
397,underweight,male
398,underweight,female
399,obese,male
400,underweight,male
401,normal,female
402,normal,female
403,underweight,male
404,obese,male
405,normal,female
406,overweight,male
407,normal,male
408,normal,female
409,underweight,male
410,normal,male
411,normal,male
412,normal,male
413,overweight,male
414,underweight,male
415,obese,male
416,underweight,male
417,overweight,female
418,normal,female
419,overweight,male
420,overweight,male
421,overweight,male
422,overweight,female
423,underweight,male
424,overweight,female
425,obese,male
426,overweight,female
427,overweight,male
428,overweight,male
429,underweight,male
430,normal,female
431,underweight,male
432,normal,female
433,overweight,female
434,obese,female
435,normal,male
436,normal,male
437,underweight,female
438,normal,female
439,underweight,female
440,overweight,male
441,overweight,male
442,underweight,male
443,normal,male
444,overweight,female
445,overweight,female
446,underweight,male
447,overweight,female
448,overweight,female
449,overweight,female
450,normal,male
451,obese,female
452,overweight,female
453,overweight,male
454,normal,female
455,normal,male
456,overweight,female
457,obese,female
458,normal,female
459,underweight,female
460,normal,female
461,normal,female
462,normal,female
463,underweight,male
464,underweight,male
465,obese,female
466,underweight,male
467,underweight,female
468,normal,male
469,overweight,female
470,normal,male
471,underweight,female
472,underweight,male
473,underweight,male
474,underweight,male
475,overweight,female
476,overweight,female
477,underweight,male
478,underweight,female
479,normal,male
480,normal,male
481,obese,male
482,underweight,male
483,overweight,female
484,normal,female
485,underweight,male
486,obese,female
487,obese,female
488,obese,male
489,normal,male
490,obese,female
491,overweight,male
492,underweight,female
493,normal,female
494,overweight,female
495,normal,female
496,overweight,male
497,obese,male
498,overweight,female
499,obese,male
500,obese,male
501,obese,male
502,normal,male
503,overweight,male
504,underweight,male
505,obese,male
506,normal,male
507,overweight,female
508,overweight,female
509,underweight,female
510,underweight,male
511,underweight,female
512,underweight,female
513,normal,female
514,underweight,male
515,underweight,male
516,normal,female
517,overweight,female
518,underweight,female
519,overweight,female
520,obese,female
521,underweight,male
522,underweight,female
523,obese,male
524,obese,female
525,normal,female
526,normal,female
527,underweight,male
528,underweight,male
529,underweight,male
530,normal,male
531,underweight,female
532,obese,female
533,underweight,female
534,normal,male
535,normal,male
536,obese,female
537,obese,male
538,obese,male
539,obese,female
540,underweight,male
541,underweight,male
542,overweight,male
543,overweight,female
544,overweight,female
545,overweight,male
546,normal,female
547,obese,male
548,underweight,female
549,underweight,male
550,obese,male
551,normal,female
552,overweight,female
553,obese,female
554,normal,male
555,obese,male
556,normal,female
557,underweight,male
558,obese,male
559,overweight,female
560,underweight,female
561,normal,male
562,obese,male
563,underweight,male
564,overweight,female
565,overweight,male
566,underweight,male
567,underweight,female
568,underweight,female
569,obese,male
570,overweight,male
571,underweight,female
572,overweight,female
573,underweight,female
574,overweight,male
575,obese,male
576,underweight,female
577,overweight,male
578,normal,male
579,underweight,male
580,obese,male
581,underweight,male
582,obese,male
583,normal,female
584,overweight,male
585,overweight,male
586,underweight,male
587,underweight,female
588,overweight,female
589,underweight,male
590,underweight,female
591,overweight,male
592,overweight,female
593,obese,male
594,obese,female
595,obese,female
596,obese,male
597,normal,female
598,overweight,female
599,normal,male
600,obese,male
601,normal,female
602,obese,male
603,underweight,female
604,normal,female
605,underweight,female
606,normal,male
607,overweight,male
608,underweight,female
609,overweight,male
610,obese,female
611,normal,female
612,normal,female
613,obese,female
614,underweight,male
615,obese,female
616,underweight,male
617,normal,female
618,underweight,female
619,overweight,male
620,obese,male
621,underweight,male
622,normal,female
623,normal,female
624,underweight,male
625,underweight,male
626,overweight,male
627,underweight,male
628,normal,male
629,normal,female
630,underweight,female
631,normal,female
632,obese,female
633,normal,female
634,underweight,male
635,normal,female
636,normal,female
637,normal,male
638,normal,female
639,overweight,female
640,obese,female
641,normal,female
642,overweight,male
643,underweight,male
644,normal,female
645,normal,male
646,overweight,male
647,underweight,female
648,obese,male
649,underweight,male
650,overweight,female
651,normal,female
652,underweight,male
653,normal,male
654,obese,male
655,normal,female
656,underweight,female
657,overweight,female
658,overweight,female
659,normal,female
660,underweight,female
661,overweight,female
662,obese,female
663,obese,male
664,underweight,male
665,obese,male
666,normal,male
667,overweight,male
668,obese,female
669,obese,female
670,underweight,female
671,obese,male
672,underweight,male
673,overweight,female
674,underweight,female
675,normal,female
676,overweight,male
677,normal,male
678,overweight,male
679,obese,female
680,obese,female
681,normal,male
682,normal,female
683,normal,female
684,obese,female
685,normal,female
686,normal,female
687,underweight,male
688,underweight,female
689,normal,female
690,obese,male
691,underweight,male
692,overweight,female
693,underweight,male
694,underweight,female
695,normal,female
696,normal,female
697,underweight,male
698,normal,male
699,normal,male
700,overweight,male
701,overweight,female
702,overweight,female
703,overweight,male
704,normal,male
705,underweight,male
706,overweight,male
707,overweight,male
708,underweight,male
709,overweight,male
710,normal,female
711,obese,male
712,obese,male
713,underweight,female
714,overweight,male
715,normal,female
716,obese,female
717,underweight,male
718,obese,male
719,underweight,female
720,normal,male
721,overweight,female
722,overweight,female
723,overweight,male
724,normal,male
725,obese,female
726,underweight,female
727,underweight,male
728,overweight,male
729,normal,female
730,normal,female
731,obese,male
732,underweight,female
733,obese,male
734,normal,female
735,normal,female
736,overweight,female
737,overweight,male
738,normal,female
739,normal,male
740,normal,female
741,underweight,male
742,obese,female
743,normal,female
744,underweight,male
745,normal,female
746,underweight,male
747,underweight,male
748,obese,female
749,normal,female
750,overweight,female
751,normal,male
752,underweight,female
753,underweight,male
754,underweight,male
755,normal,female
756,normal,female
757,obese,male
758,obese,female
759,obese,female
760,overweight,female
761,normal,female
762,underweight,female
763,underweight,male
764,underweight,male
765,overweight,female
766,normal,female
767,overweight,female
768,underweight,female
769,obese,female
770,normal,male
771,normal,female
772,obese,male
773,normal,female
774,obese,male
775,overweight,male
776,underweight,female
777,overweight,female
778,obese,female
779,obese,male
780,normal,male
781,obese,female
782,normal,male
783,obese,male
784,obese,male
785,overweight,male
786,overweight,male
787,overweight,male
788,overweight,female
789,obese,male
790,overweight,female
791,underweight,female
792,obese,female
793,underweight,female
794,overweight,female
795,normal,male
796,overweight,male
797,underweight,male
798,normal,male
799,normal,female
800,underweight,female
801,obese,male
802,normal,female
803,obese,female
804,obese,male
805,overweight,male
806,obese,male
807,normal,female
808,normal,female
809,overweight,female
810,overweight,female
811,obese,male
812,underweight,female
813,underweight,female
814,normal,male
815,normal,female
816,obese,female
817,overweight,female
818,normal,male
819,underweight,male
820,normal,male
821,obese,female
822,normal,male
823,underweight,male
824,underweight,female
825,normal,male
826,underweight,female
827,overweight,male
828,overweight,male
829,normal,male
830,underweight,female
831,obese,male
832,obese,male
833,overweight,male
834,underweight,female
835,overweight,female
836,overweight,female
837,normal,female
838,overweight,female
839,overweight,female
840,normal,female
841,overweight,male
842,overweight,male
843,overweight,male
844,overweight,female
845,normal,female
846,overweight,female
847,normal,male
848,overweight,male
849,overweight,male
850,overweight,female
851,normal,male
852,obese,female
853,overweight,female
854,normal,male
855,underweight,male
856,underweight,male
857,normal,male
858,underweight,female
859,obese,female
860,obese,female
861,underweight,male
862,obese,male
863,normal,male
864,underweight,male
865,overweight,female
866,overweight,female
867,underweight,female
868,normal,female
869,normal,male
870,underweight,male
871,normal,male
872,overweight,male
873,obese,male
874,overweight,male
875,normal,female
876,underweight,male
877,underweight,female
878,overweight,female
879,underweight,female
880,obese,female
881,overweight,female
882,normal,female
883,overweight,male
884,obese,female
885,underweight,male
886,underweight,female
887,overweight,female
888,underweight,male
889,overweight,male
890,underweight,female
891,overweight,female
892,underweight,female
893,overweight,female
894,overweight,female
895,underweight,female
896,normal,female
897,underweight,female
898,overweight,male
899,overweight,male
900,overweight,male
901,obese,female
902,normal,female
903,overweight,female
904,obese,male
905,overweight,male
906,obese,female
907,obese,female
908,obese,female
909,overweight,female
910,normal,male
911,normal,male
912,underweight,male
913,obese,female
914,normal,male
915,normal,female
916,underweight,female
917,overweight,female
918,overweight,female
919,underweight,male
920,obese,female
921,normal,female
922,underweight,male
923,normal,male
924,normal,male
925,overweight,female
926,obese,male
927,underweight,male
928,obese,male
929,underweight,male
930,normal,female
931,underweight,female
932,overweight,male
933,obese,male
934,normal,male
935,overweight,male
936,normal,female
937,overweight,male
938,obese,male
939,normal,female
940,overweight,female
941,normal,male
942,obese,male
943,overweight,female
944,overweight,male
945,overweight,male
946,obese,female
947,overweight,male
948,overweight,male
949,overweight,female
950,overweight,male
951,obese,female
952,underweight,female
953,obese,male
954,normal,male
955,obese,male
956,normal,male
957,underweight,female
958,obese,male
959,underweight,male
960,normal,female
961,obese,female
962,obese,male
963,obese,male
964,obese,female
965,underweight,male
966,normal,male
967,overweight,male
968,normal,male
969,obese,female
970,obese,male
971,overweight,male
972,overweight,female
973,obese,female
974,underweight,female
975,obese,male
976,obese,female
977,obese,male
978,overweight,female
979,obese,female
980,normal,male
981,overweight,female
982,underweight,male
983,obese,female
984,underweight,female
985,underweight,male
986,obese,male
987,obese,male
988,normal,female
989,normal,male
990,underweight,female
991,obese,male
992,obese,male
993,underweight,male
994,overweight,female
995,normal,male
996,underweight,female
997,underweight,female
998,normal,female
999,underweight,male
1000,normal,male
1001,normal,female
1002,obese,female
1003,normal,male
1004,normal,female
1005,underweight,female
1006,obese,male
1007,obese,female
1008,normal,female
1009,obese,female
1010,overweight,male
1011,overweight,female
1012,overweight,male
1013,normal,male
1014,obese,female
1015,underweight,female
1016,overweight,male
1017,obese,male
1018,underweight,male
1019,overweight,female
1020,obese,female
1021,normal,female
1022,normal,female
1023,normal,female
1024,overweight,female
1025,obese,female
1026,normal,male
1027,underweight,female
1028,normal,male
1029,obese,male
1030,normal,male
1031,underweight,male
1032,overweight,male
1033,normal,male
1034,obese,male
1035,normal,male
1036,normal,female
1037,obese,female
1038,obese,female
1039,normal,female
1040,obese,female
1041,obese,female
1042,obese,female
1043,overweight,male
1044,underweight,male
1045,obese,female
1046,normal,male
1047,underweight,male
1048,underweight,female
1049,underweight,male
1050,normal,male
1051,underweight,male
1052,obese,male
1053,underweight,female
1054,underweight,male
1055,obese,male
1056,overweight,female
1057,overweight,male
1058,obese,male
1059,obese,female
1060,obese,female
1061,underweight,male
1062,underweight,female
1063,obese,female
1064,overweight,female
1065,normal,female
1066,underweight,male
1067,underweight,male
1068,normal,male
1069,obese,female
1070,underweight,female
1071,obese,male
1072,underweight,male
1073,underweight,male
1074,overweight,male
1075,obese,female
1076,obese,male
1077,obese,male
1078,obese,male
1079,obese,male
1080,obese,male
1081,overweight,male
1082,overweight,male
1083,normal,male
1084,underweight,female
1085,obese,female
1086,normal,male
1087,obese,female
1088,underweight,male
1089,normal,female
1090,underweight,male
1091,underweight,female
1092,underweight,female
1093,normal,female
1094,obese,male
1095,obese,male
1096,obese,male
1097,obese,female
1098,overweight,male
1099,underweight,female
1100,obese,female
1101,normal,female
1102,normal,male
1103,normal,male
1104,obese,male
1105,obese,male
1106,overweight,male
1107,normal,male
1108,overweight,male
1109,overweight,male
1110,obese,female
1111,obese,male
1112,underweight,female
1113,overweight,female
1114,overweight,male
1115,normal,male
1116,obese,female
1117,obese,male
1118,obese,female
1119,normal,female
1120,normal,male
1121,overweight,female
1122,underweight,female
1123,overweight,male
1124,overweight,male
1125,obese,female
1126,overweight,male
1127,underweight,male
1128,normal,female
1129,underweight,female
1130,overweight,female
1131,underweight,male
1132,underweight,male
1133,obese,male
1134,obese,male
1135,obese,male
1136,normal,male
1137,overweight,female
1138,underweight,female
1139,obese,female
1140,overweight,male
1141,obese,female
1142,underweight,male
1143,overweight,male
1144,obese,male
1145,underweight,male
1146,normal,male
1147,overweight,female
1148,overweight,female
1149,overweight,female
1150,obese,female
1151,underweight,male
1152,overweight,female
1153,underweight,male
1154,underweight,male
1155,obese,female
1156,overweight,female
1157,underweight,female
1158,normal,male
1159,underweight,male
1160,overweight,male
1161,obese,male
1162,overweight,female
1163,normal,female
1164,overweight,male
1165,obese,male
1166,overweight,male
1167,overweight,male
1168,normal,female
1169,underweight,male
1170,normal,male
1171,obese,male
1172,normal,male
1173,underweight,female
1174,normal,female
1175,obese,female
1176,obese,female
1177,normal,female
1178,obese,male
1179,overweight,female
1180,overweight,male
1181,overweight,female
1182,obese,female
1183,normal,male
1184,underweight,male
1185,overweight,male
1186,normal,female
1187,underweight,male
1188,overweight,male
1189,obese,female
1190,overweight,female
1191,underweight,male
1192,obese,male
1193,normal,male
1194,overweight,female
1195,obese,female
1196,overweight,female
1197,normal,female
1198,overweight,female
1199,obese,female
1200,obese,male
1201,overweight,male
1202,overweight,female
1203,obese,male
1204,obese,female
1205,obese,male
1206,obese,male
1207,obese,female
1208,underweight,female
1209,normal,female
1210,obese,female
1211,obese,male
1212,normal,female
1213,obese,male
1214,overweight,male
1215,normal,female
1216,normal,male
1217,underweight,male
1218,underweight,male
1219,underweight,male
1220,obese,female
1221,underweight,female
1222,overweight,male
1223,obese,male
1224,normal,male
1225,overweight,female
1226,normal,male
1227,normal,female
1228,overweight,female
1229,overweight,male
1230,underweight,female
1231,obese,female
1232,overweight,female
1233,underweight,female
1234,obese,male
1235,obese,female
1236,underweight,female
1237,obese,male
1238,overweight,male
1239,underweight,female
1240,underweight,male
1241,normal,female
1242,normal,male
1243,normal,male
1244,overweight,female
1245,normal,male
1246,obese,male
1247,normal,female
1248,overweight,male
1249,normal,female
1250,normal,female
1251,normal,female
1252,overweight,male
1253,underweight,female
1254,normal,female
1255,normal,male
1256,overweight,female
1257,obese,male
1258,overweight,male
1259,underweight,female
1260,obese,male
1261,obese,male
1262,underweight,male
1263,overweight,male
1264,obese,male
1265,underweight,female
1266,normal,female
1267,underweight,male
1268,underweight,male
1269,overweight,female
1270,normal,female
1271,overweight,female
1272,normal,male
1273,normal,female
1274,overweight,male
1275,overweight,female
1276,overweight,female
1277,overweight,female
1278,normal,male
1279,obese,male
1280,normal,female
1281,normal,female
1282,obese,male
1283,underweight,female
1284,normal,male
1285,obese,male
1286,overweight,male
1287,overweight,male
1288,normal,female
1289,underweight,male
1290,underweight,female
1291,overweight,female
1292,normal,male
1293,overweight,male
1294,normal,male
1295,normal,male
1296,normal,female
1297,overweight,female
1298,overweight,female
1299,normal,female
1300,obese,male
1301,overweight,female
1302,normal,male
1303,underweight,male
1304,obese,male
1305,normal,female
1306,underweight,female
1307,underweight,female
1308,overweight,female
1309,obese,male
1310,underweight,male
1311,obese,female
1312,underweight,female
1313,underweight,male
1314,overweight,female
1315,underweight,female
1316,normal,female
1317,obese,male
1318,overweight,female
1319,obese,female
1320,normal,male
1321,overweight,female
1322,obese,male
1323,underweight,male
1324,obese,male
1325,overweight,female
1326,overweight,female
1327,underweight,male
1328,underweight,female
1329,overweight,male
1330,normal,male
1331,overweight,female
1332,normal,male
1333,underweight,female
1334,overweight,female
1335,underweight,male
1336,obese,male
1337,underweight,male
1338,normal,male
1339,normal,female
1340,obese,female
1341,overweight,male
1342,underweight,male
1343,normal,male
1344,obese,male
1345,underweight,male
1346,obese,female
1347,underweight,male
1348,overweight,male
1349,overweight,male
1350,overweight,female
1351,underweight,female
1352,normal,female
1353,obese,male
1354,normal,female
1355,underweight,female
1356,obese,female
1357,obese,male
1358,obese,male
1359,normal,male
1360,underweight,female
1361,normal,female
1362,underweight,male
1363,overweight,female
1364,underweight,female
1365,obese,female
1366,underweight,female
1367,obese,male
1368,normal,female
1369,overweight,female
1370,overweight,female
1371,obese,male
1372,obese,female
1373,overweight,male
1374,underweight,male
1375,underweight,female
1376,overweight,male
1377,overweight,female
1378,underweight,male
1379,obese,male
1380,underweight,female
1381,underweight,male
1382,obese,male
1383,obese,male
1384,obese,male
1385,underweight,male
1386,obese,female
1387,overweight,female
1388,obese,female
1389,overweight,male
1390,obese,female
1391,overweight,male
1392,normal,female
1393,overweight,male
1394,obese,male
1395,obese,female
1396,overweight,female
1397,overweight,male
1398,overweight,female
1399,underweight,male
1400,obese,female
1401,obese,male
1402,overweight,female
1403,overweight,male
1404,underweight,female
1405,normal,female
1406,overweight,male
1407,normal,male
1408,obese,female
1409,obese,male
1410,normal,male
1411,underweight,male
1412,underweight,male
1413,underweight,female
1414,normal,male
1415,overweight,female
1416,underweight,female
1417,normal,male
1418,overweight,female
1419,normal,male
1420,normal,female
1421,obese,male
1422,overweight,male
1423,overweight,female
1424,underweight,male
1425,overweight,male
1426,underweight,female
1427,obese,female
1428,underweight,female
1429,normal,male
1430,obese,male
1431,underweight,male
1432,underweight,male
1433,overweight,female
1434,underweight,female
1435,overweight,female
1436,normal,male
1437,obese,female
1438,obese,male
1439,normal,female
1440,underweight,male
1441,underweight,female
1442,obese,female
1443,overweight,female
1444,underweight,female
1445,underweight,male
1446,normal,male
1447,underweight,male
1448,obese,female
1449,overweight,male
1450,overweight,male
1451,underweight,female
1452,normal,female
1453,obese,male
1454,overweight,female
1455,underweight,male
1456,overweight,female
1457,overweight,male
1458,normal,male
1459,underweight,female
1460,overweight,male
1461,obese,male
1462,overweight,female
1463,overweight,female
1464,normal,male
1465,normal,female
1466,normal,female
1467,overweight,male
1468,overweight,female
1469,underweight,female
1470,normal,female
1471,normal,female
1472,obese,female
1473,overweight,male
1474,underweight,male
1475,underweight,male
1476,normal,male
1477,normal,female
1478,underweight,male
1479,normal,female
1480,overweight,male
1481,normal,female
1482,obese,female
1483,obese,male
1484,underweight,female
1485,normal,female
1486,underweight,male
1487,normal,male
1488,underweight,female
1489,normal,female
1490,overweight,female
1491,obese,female
1492,overweight,female
1493,overweight,male
1494,underweight,male
1495,normal,male
1496,overweight,male
1497,normal,male
1498,overweight,male
1499,underweight,female
1500,underweight,male
1501,underweight,female
1502,overweight,male
1503,normal,male
1504,overweight,male
1505,overweight,female
1506,normal,female
1507,normal,male
1508,normal,male
1509,underweight,male
1510,obese,male
1511,obese,male
1512,normal,male
1513,underweight,female
1514,normal,male
1515,normal,male
1516,overweight,male
1517,overweight,male
1518,obese,female
1519,overweight,female
1520,obese,male
1521,overweight,male
1522,overweight,female
1523,underweight,female
1524,overweight,male
1525,underweight,female
1526,normal,male
1527,normal,female
1528,normal,male
1529,overweight,female
1530,underweight,female
1531,underweight,male
1532,underweight,female
1533,obese,female
1534,overweight,female
1535,underweight,male
1536,overweight,female
1537,obese,male
1538,overweight,male
1539,underweight,female
1540,underweight,male
1541,underweight,male
1542,underweight,male
1543,obese,female
1544,normal,male
1545,underweight,female
1546,overweight,female
1547,underweight,male
1548,obese,female
1549,underweight,female
1550,normal,male
1551,obese,female
1552,normal,male
1553,underweight,male
1554,underweight,female
1555,overweight,male
1556,underweight,female
1557,obese,male
1558,normal,male
1559,obese,male
1560,obese,male
1561,obese,male
1562,normal,female
1563,normal,female
1564,normal,female
1565,normal,female
1566,obese,female
1567,normal,female
1568,obese,male
1569,normal,female
1570,overweight,male
1571,normal,male
1572,underweight,male
1573,obese,female
1574,underweight,male
1575,obese,female
1576,overweight,female
1577,obese,male
1578,overweight,female
1579,normal,female
1580,normal,male
1581,normal,male
1582,overweight,male
1583,obese,female
1584,obese,female
1585,underweight,male
1586,underweight,female
1587,normal,female
1588,overweight,female
1589,normal,female
1590,overweight,female
1591,overweight,female
1592,overweight,male
1593,underweight,female
1594,overweight,male
1595,obese,male
1596,obese,male
1597,underweight,female
1598,normal,female
1599,underweight,male
1600,normal,female
1601,normal,male
1602,obese,male
1603,overweight,male
1604,underweight,female
1605,overweight,female
1606,normal,male
1607,normal,male
1608,normal,female
1609,underweight,female
1610,underweight,female
1611,normal,female
1612,underweight,female
1613,underweight,male
1614,underweight,female
1615,underweight,male
1616,normal,male
1617,obese,female
1618,normal,male
1619,underweight,male
1620,overweight,male
1621,underweight,male
1622,normal,female
1623,obese,male
1624,underweight,female
1625,obese,female
1626,overweight,male
1627,normal,male
1628,obese,male
1629,obese,female
1630,overweight,male
1631,normal,male
1632,normal,male
1633,obese,male
1634,overweight,female
1635,underweight,female
1636,obese,female
1637,underweight,female
1638,overweight,male
1639,normal,male
1640,normal,female
1641,underweight,female
1642,overweight,male
1643,normal,male
1644,obese,male
1645,underweight,female
1646,obese,male
1647,obese,male
1648,obese,female
1649,normal,male
1650,normal,female
1651,normal,female
1652,underweight,female
1653,underweight,male
1654,underweight,male
1655,obese,female
1656,normal,male
1657,normal,female
1658,underweight,female
1659,underweight,male
1660,overweight,male
1661,overweight,male
1662,overweight,male
1663,normal,male
1664,overweight,female
1665,obese,female
1666,underweight,male
1667,normal,male
1668,overweight,female
1669,overweight,female
1670,overweight,female
1671,normal,male
1672,overweight,female
1673,overweight,female
1674,overweight,female
1675,normal,female
1676,underweight,male
1677,overweight,male
1678,normal,male
1679,obese,female
1680,normal,male
1681,underweight,female
1682,underweight,male
1683,obese,female
1684,normal,female
1685,overweight,female
1686,underweight,male
1687,normal,male
1688,normal,male
1689,normal,female
1690,obese,female
1691,obese,female
1692,obese,male
1693,normal,male
1694,overweight,male
1695,normal,male
1696,overweight,male
1697,overweight,female
1698,overweight,male
1699,normal,male
1700,normal,female
1701,normal,male
1702,underweight,male
1703,obese,female
1704,overweight,female
1705,normal,female
1706,underweight,female
1707,underweight,female
1708,normal,female
1709,normal,male
1710,normal,female
1711,overweight,male
1712,normal,female
1713,overweight,female
1714,overweight,male
1715,obese,male
1716,overweight,male
1717,underweight,female
1718,obese,male
1719,obese,male
1720,normal,male
1721,underweight,female
1722,normal,male
1723,obese,female
1724,obese,male
1725,overweight,male
1726,underweight,male
1727,underweight,male
1728,normal,female
1729,overweight,male
1730,underweight,female
1731,overweight,male
1732,obese,male
1733,obese,male
1734,overweight,male
1735,underweight,male
1736,underweight,male
1737,underweight,female
1738,obese,female
1739,underweight,male
1740,overweight,male
1741,overweight,male
1742,obese,female
1743,overweight,female
1744,obese,female
1745,normal,male
1746,underweight,female
1747,normal,female
1748,normal,female
1749,overweight,male
1750,overweight,female
1751,overweight,male
1752,overweight,female
1753,underweight,male
1754,normal,male
1755,underweight,male
1756,underweight,male
1757,normal,female
1758,underweight,male
1759,obese,female
1760,obese,male
1761,overweight,female
1762,normal,female
1763,normal,male
1764,overweight,female
1765,normal,female
1766,overweight,male
1767,underweight,male
1768,overweight,female
1769,overweight,female
1770,obese,male
1771,underweight,male
1772,overweight,male
1773,overweight,female
1774,normal,male
1775,obese,female
1776,overweight,male
1777,underweight,female
1778,overweight,male
1779,overweight,female
1780,obese,female
1781,obese,female
1782,overweight,female
1783,underweight,female
1784,underweight,male
1785,obese,female
1786,underweight,female
1787,underweight,male
1788,underweight,male
1789,obese,male
1790,overweight,female
1791,obese,female
