Body Type,Diet,How Often Shower,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,Recycle Plastic,Recycle Glass,Recycle Metal,Recycle Paper,Recycling Count,Cook With Stove,Cook With Oven,Cook With Microwave,Cook With Grill,Cook With Airfryer,Cooking With Count,Monthly Grocery Bill Tier
underweight,vegan,less frequently,private,sometimes,111,rarely,large,6,13,16,10,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1732,1,1,1,0,3,1,1,1,1,1,5,Low
obese,pescatarian,less frequently,public,often,123,rarely,small,6,13,23,8,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",1743,1,0,1,1,3,1,1,0,0,0,2,Medium
overweight,vegetarian,less frequently,public,never,225,very frequently,small,6,9,24,15,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2101,1,1,1,1,4,1,1,0,0,0,2,Medium
normal,pescatarian,more frequently,walk/bicycle,often,219,frequently,extra large,4,23,42,14,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2609,0,0,0,0,0,0,1,1,1,1,4,Medium
overweight,pescatarian,daily,public,often,104,rarely,large,6,1,6,22,Yes,[Paper],"['Stove', 'Grill', 'Airfryer']",1565,0,0,0,1,1,1,0,0,1,1,3,Low
underweight,vegan,more frequently,private,often,126,very frequently,medium,2,6,37,9,Sometimes,[],[Stove],5272,0,0,0,0,0,1,0,0,0,0,1,Medium
normal,omnivore,more frequently,walk/bicycle,often,288,never,small,4,15,22,6,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",1220,0,1,1,1,3,1,1,0,0,0,2,High
normal,vegan,twice a day,private,often,282,rarely,large,6,0,8,5,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1300,1,1,1,0,3,0,1,0,1,1,3,High
obese,pescatarian,less frequently,public,never,69,rarely,large,1,6,3,7,No,[Metal],"['Stove', 'Oven', 'Microwave']",1024,0,0,1,0,1,1,1,1,0,0,3,Low
overweight,omnivore,twice a day,walk/bicycle,sometimes,110,never,small,3,14,4,3,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",706,1,1,1,1,4,1,1,1,1,1,5,Low
obese,vegetarian,daily,private,often,165,frequently,small,4,17,24,20,Yes,"['Paper', 'Glass']",[Microwave],2582,0,1,0,1,2,0,0,1,0,0,1,Medium
overweight,vegan,daily,private,sometimes,62,very frequently,medium,1,5,20,20,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",4284,0,0,1,1,2,0,0,0,1,1,2,Low
obese,pescatarian,less frequently,walk/bicycle,sometimes,94,rarely,medium,6,17,0,3,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",807,1,0,1,1,3,1,1,1,1,1,5,Low
underweight,vegan,daily,public,often,259,frequently,large,4,4,50,23,Sometimes,[Metal],"['Oven', 'Grill', 'Airfryer']",1991,0,0,1,0,1,0,1,0,1,1,3,High
obese,vegetarian,less frequently,public,sometimes,67,rarely,large,3,14,37,14,Sometimes,[Plastic],[Stove],1817,1,0,0,0,1,1,0,0,0,0,1,Low
obese,pescatarian,daily,walk/bicycle,never,130,rarely,small,2,10,15,10,No,[Glass],"['Oven', 'Grill', 'Airfryer']",1490,0,1,0,0,1,0,1,0,1,1,3,Medium
underweight,omnivore,less frequently,public,never,258,frequently,small,2,13,44,4,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1561,0,1,1,0,2,0,1,1,1,1,4,High
obese,vegan,more frequently,public,sometimes,189,frequently,medium,4,23,34,10,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2202,0,1,1,0,2,0,0,1,1,1,3,Medium
underweight,vegetarian,daily,walk/bicycle,sometimes,262,frequently,large,5,24,8,15,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",2024,0,0,0,0,0,0,0,1,1,1,3,High
normal,pescatarian,daily,walk/bicycle,never,157,frequently,medium,4,1,42,22,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1659,0,1,1,1,3,1,1,1,1,1,5,Medium
normal,pescatarian,daily,private,often,280,very frequently,small,5,9,0,4,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3911,0,0,1,1,2,1,1,0,1,1,4,High
normal,vegetarian,twice a day,walk/bicycle,sometimes,121,never,medium,6,11,4,10,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1204,0,1,1,0,2,1,0,1,1,1,4,Medium
underweight,vegan,less frequently,walk/bicycle,often,174,very frequently,large,2,1,40,15,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2431,1,1,0,1,3,1,0,1,0,0,2,Medium
obese,vegetarian,daily,walk/bicycle,sometimes,173,frequently,medium,2,16,14,20,Sometimes,"['Plastic', 'Glass']",[],1640,1,1,0,0,2,0,0,0,0,0,0,Medium
underweight,vegan,twice a day,walk/bicycle,sometimes,199,frequently,medium,5,17,6,15,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1648,0,1,1,1,3,1,1,1,1,1,5,Medium
underweight,omnivore,less frequently,walk/bicycle,never,94,rarely,small,6,15,5,17,Sometimes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1002,0,1,1,0,2,0,0,1,1,1,3,Low
underweight,pescatarian,less frequently,walk/bicycle,never,64,frequently,small,1,19,47,16,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1771,1,1,0,0,2,1,1,1,1,1,5,Low
overweight,omnivore,twice a day,public,never,100,very frequently,extra large,1,20,24,5,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2028,1,1,0,1,3,1,0,1,1,1,4,Low
normal,vegetarian,more frequently,public,often,240,very frequently,medium,2,15,19,5,No,"['Glass', 'Metal']","['Stove', 'Oven']",2540,0,1,1,0,2,1,1,0,0,0,2,High
underweight,omnivore,daily,public,sometimes,245,never,medium,7,14,48,10,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1386,0,1,1,1,3,1,1,0,1,1,4,High
normal,pescatarian,daily,walk/bicycle,sometimes,270,rarely,small,5,22,21,11,Sometimes,[Plastic],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1679,1,0,0,0,1,1,1,1,1,1,5,High
overweight,omnivore,daily,private,often,294,very frequently,small,5,16,20,18,Yes,[Glass],[],3141,0,1,0,0,1,0,0,0,0,0,0,High
normal,vegetarian,more frequently,public,never,87,very frequently,large,4,0,11,24,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2627,1,0,0,1,2,1,1,1,1,1,5,Low
underweight,pescatarian,less frequently,private,never,209,never,large,2,13,43,3,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1188,0,1,1,1,3,0,1,1,1,1,4,Medium
underweight,pescatarian,twice a day,private,never,124,never,extra large,5,1,11,5,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",3174,1,1,0,0,2,1,0,0,1,1,3,Medium
overweight,vegetarian,more frequently,public,sometimes,276,frequently,large,7,19,5,12,Sometimes,[Metal],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2327,0,0,1,0,1,1,1,1,1,1,5,High
overweight,vegan,daily,walk/bicycle,never,90,very frequently,medium,3,22,7,9,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",1822,1,0,1,1,3,1,1,1,0,0,3,Low
obese,vegan,less frequently,private,sometimes,136,never,medium,6,0,43,24,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",2665,1,0,1,1,3,1,1,0,0,0,2,Medium
underweight,vegan,daily,public,sometimes,246,frequently,extra large,4,22,43,7,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2129,1,0,1,0,2,1,1,1,1,1,5,High
normal,pescatarian,less frequently,public,often,94,rarely,medium,5,18,10,21,Yes,"['Paper', 'Glass']",[Oven],1425,0,1,0,1,2,0,1,0,0,0,1,Low
overweight,vegetarian,more frequently,private,never,253,frequently,large,1,0,11,20,Sometimes,"['Paper', 'Glass', 'Metal']",[Stove],1690,0,1,1,1,3,1,0,0,0,0,1,High
obese,omnivore,more frequently,walk/bicycle,never,200,rarely,medium,7,13,18,0,Sometimes,[Metal],"['Stove', 'Microwave']",1717,0,0,1,0,1,1,0,1,0,0,2,Medium
normal,vegan,less frequently,private,sometimes,281,frequently,large,2,4,38,5,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",4060,0,1,0,1,2,0,0,1,1,1,3,High
obese,vegetarian,less frequently,private,sometimes,82,rarely,extra large,3,14,18,17,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",3262,1,1,0,0,2,1,1,0,1,1,4,Low
overweight,pescatarian,more frequently,public,often,73,rarely,extra large,1,9,30,12,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1674,0,1,0,1,2,1,1,1,1,1,5,Low
obese,vegetarian,daily,private,often,246,frequently,small,4,0,36,3,Sometimes,[Metal],"['Stove', 'Oven', 'Microwave']",3135,0,0,1,0,1,1,1,1,0,0,3,High
underweight,pescatarian,less frequently,private,sometimes,98,rarely,extra large,5,1,49,20,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4465,1,1,0,0,2,1,0,1,1,1,4,Low
overweight,pescatarian,twice a day,public,never,256,rarely,extra large,3,23,33,8,Sometimes,[],[Stove],1984,0,0,0,0,0,1,0,0,0,0,1,High
overweight,vegetarian,less frequently,private,often,287,very frequently,large,1,21,21,3,Yes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3246,1,0,1,0,2,1,0,1,1,1,4,High
obese,omnivore,daily,walk/bicycle,never,63,frequently,large,4,1,6,14,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1351,1,1,1,1,4,1,1,1,1,1,5,Low
obese,vegetarian,less frequently,walk/bicycle,often,158,never,extra large,1,24,33,2,No,[Glass],[Stove],1929,0,1,0,0,1,1,0,0,0,0,1,Medium
obese,omnivore,twice a day,walk/bicycle,often,241,frequently,large,5,24,15,10,Yes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2719,0,0,0,0,0,0,1,1,1,1,4,High
obese,vegetarian,twice a day,walk/bicycle,never,176,frequently,large,1,11,41,19,Yes,[Paper],"['Stove', 'Oven']",2336,0,0,0,1,1,1,1,0,0,0,2,Medium
normal,vegetarian,less frequently,public,often,1,never,small,6,0,35,3,Sometimes,[Glass],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1270,0,1,0,0,1,1,0,1,1,1,4,Low
obese,vegetarian,less frequently,walk/bicycle,often,214,never,large,6,20,12,24,Yes,[Glass],"['Stove', 'Microwave']",1803,0,1,0,0,1,1,0,1,0,0,2,Medium
normal,vegan,daily,walk/bicycle,sometimes,264,very frequently,medium,1,7,22,17,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1816,0,1,0,1,2,0,1,1,1,1,4,High
normal,omnivore,twice a day,private,sometimes,213,never,small,1,16,43,9,No,"['Paper', 'Plastic']","['Stove', 'Oven']",4638,1,0,0,1,2,1,1,0,0,0,2,Medium
underweight,omnivore,twice a day,private,often,281,rarely,small,3,16,8,22,Sometimes,"['Plastic', 'Metal']",[Stove],1909,1,0,1,0,2,1,0,0,0,0,1,High
normal,vegan,less frequently,public,sometimes,280,frequently,large,2,2,30,1,Yes,[Plastic],[Oven],2021,1,0,0,0,1,0,1,0,0,0,1,High
normal,omnivore,more frequently,public,never,125,rarely,large,5,4,15,23,No,[Metal],"['Oven', 'Microwave']",1896,0,0,1,0,1,0,1,1,0,0,2,Medium
obese,vegan,daily,walk/bicycle,never,188,frequently,small,4,11,21,3,No,[Paper],"['Oven', 'Grill', 'Airfryer']",1770,0,0,0,1,1,0,1,0,1,1,3,Medium
normal,omnivore,daily,walk/bicycle,often,251,never,small,1,12,47,3,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",1323,1,0,1,1,3,1,0,1,0,0,2,High
normal,pescatarian,daily,public,never,285,very frequently,small,1,21,24,9,Yes,[Plastic],"['Grill', 'Airfryer']",2269,1,0,0,0,1,0,0,0,1,1,2,High
obese,vegan,more frequently,public,never,234,never,extra large,4,20,36,5,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1918,1,1,1,0,3,1,1,0,1,1,4,High
overweight,vegan,daily,public,sometimes,91,very frequently,small,7,8,43,2,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",2477,1,0,1,1,3,1,1,1,0,0,3,Low
normal,omnivore,daily,walk/bicycle,never,118,frequently,large,3,6,10,16,No,[Paper],"['Stove', 'Oven']",1444,0,0,0,1,1,1,1,0,0,0,2,Medium
obese,vegetarian,twice a day,walk/bicycle,never,75,never,small,5,15,42,16,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1254,1,1,0,1,3,1,0,0,1,1,3,Low
overweight,vegetarian,more frequently,public,never,134,never,small,5,19,35,10,No,[Glass],"['Oven', 'Grill', 'Airfryer']",1411,0,1,0,0,1,0,1,0,1,1,3,Medium
underweight,pescatarian,daily,public,often,282,never,extra large,4,7,11,8,No,"['Plastic', 'Glass']","['Grill', 'Airfryer']",1605,1,1,0,0,2,0,0,0,1,1,2,High
obese,vegetarian,less frequently,private,often,110,never,medium,5,7,2,18,No,[Paper],"['Stove', 'Oven']",3054,0,0,0,1,1,1,1,0,0,0,2,Low
overweight,vegetarian,less frequently,walk/bicycle,never,202,very frequently,extra large,6,9,16,14,Yes,[],"['Grill', 'Airfryer']",2902,0,0,0,0,0,0,0,0,1,1,2,Medium
overweight,pescatarian,less frequently,private,never,56,frequently,large,7,22,8,15,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",4301,1,1,0,0,2,1,1,0,0,0,2,Low
normal,vegan,twice a day,walk/bicycle,often,223,very frequently,small,3,12,35,22,Yes,[Plastic],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2308,1,0,0,0,1,0,1,1,1,1,4,Medium
normal,vegetarian,more frequently,private,often,202,frequently,medium,1,17,37,2,No,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",4132,1,1,1,0,3,0,0,0,1,1,2,Medium
overweight,vegetarian,daily,private,sometimes,114,frequently,medium,3,1,41,23,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",2993,0,1,1,1,3,1,1,0,0,0,2,Low
overweight,omnivore,daily,private,often,141,frequently,medium,1,7,21,1,Yes,"['Paper', 'Plastic']",[],3098,1,0,0,1,2,0,0,0,0,0,0,Medium
overweight,vegan,twice a day,walk/bicycle,sometimes,236,rarely,extra large,2,19,15,10,Yes,"['Plastic', 'Metal']",[],1364,1,0,1,0,2,0,0,0,0,0,0,High
normal,omnivore,daily,private,sometimes,95,rarely,large,1,15,31,14,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2941,1,1,0,1,3,1,0,1,1,1,4,Low
overweight,vegetarian,more frequently,walk/bicycle,never,249,frequently,large,4,6,2,4,Sometimes,[Paper],[Microwave],1349,0,0,0,1,1,0,0,1,0,0,1,High
overweight,pescatarian,daily,walk/bicycle,often,213,never,medium,1,24,17,16,Yes,"['Plastic', 'Glass']",[Microwave],1038,1,1,0,0,2,0,0,1,0,0,1,Medium
obese,vegetarian,twice a day,walk/bicycle,never,81,never,medium,7,16,31,15,No,"['Plastic', 'Glass']",[],1815,1,1,0,0,2,0,0,0,0,0,0,Low
overweight,vegan,twice a day,private,sometimes,291,very frequently,medium,3,2,23,23,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2439,1,1,1,0,3,1,1,1,0,0,3,High
obese,pescatarian,twice a day,private,sometimes,70,very frequently,small,2,9,7,20,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",2056,1,0,1,0,2,1,1,0,0,0,2,Low
overweight,pescatarian,more frequently,public,often,89,very frequently,medium,7,2,0,18,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2299,1,1,1,1,4,0,0,1,1,1,3,Low
overweight,vegan,twice a day,public,never,121,rarely,large,6,15,16,18,Sometimes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1492,1,0,1,0,2,1,0,0,1,1,3,Medium
underweight,omnivore,daily,walk/bicycle,often,198,rarely,medium,1,12,45,17,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",1692,1,1,0,1,3,0,1,1,0,0,2,Medium
obese,vegetarian,more frequently,walk/bicycle,never,234,frequently,extra large,3,15,29,3,Yes,[Paper],"['Microwave', 'Grill', 'Airfryer']",2581,0,0,0,1,1,0,0,1,1,1,3,High
overweight,vegetarian,less frequently,walk/bicycle,sometimes,84,rarely,large,2,0,1,1,Sometimes,"['Glass', 'Metal']","['Grill', 'Airfryer']",950,0,1,1,0,2,0,0,0,1,1,2,Low
normal,vegan,twice a day,private,often,182,never,small,5,10,9,1,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1923,1,1,0,1,3,0,1,1,1,1,4,Medium
overweight,pescatarian,less frequently,walk/bicycle,often,275,never,extra large,2,19,49,19,Yes,[Paper],[Stove],1751,0,0,0,1,1,1,0,0,0,0,1,High
overweight,vegan,more frequently,walk/bicycle,never,140,frequently,large,6,9,24,24,No,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2456,1,0,0,1,2,0,1,1,1,1,4,Medium
overweight,vegetarian,more frequently,public,sometimes,232,never,extra large,1,22,8,1,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",657,1,1,1,0,3,1,1,0,0,0,2,High
normal,pescatarian,twice a day,public,often,115,very frequently,small,3,21,13,9,No,"['Paper', 'Metal']","['Stove', 'Microwave']",1758,0,0,1,1,2,1,0,1,0,0,2,Medium
obese,vegan,daily,public,never,157,frequently,medium,4,2,44,12,Sometimes,"['Plastic', 'Glass']",[Microwave],2184,1,1,0,0,2,0,0,1,0,0,1,Medium
obese,pescatarian,twice a day,public,sometimes,156,very frequently,extra large,1,14,20,23,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3009,0,1,0,1,2,1,1,1,1,1,5,Medium
normal,pescatarian,daily,public,often,230,frequently,large,4,7,26,1,No,[Metal],"['Stove', 'Oven']",2238,0,0,1,0,1,1,1,0,0,0,2,High
normal,omnivore,more frequently,private,never,138,never,small,1,14,47,6,Sometimes,[Metal],"['Oven', 'Microwave']",2595,0,0,1,0,1,0,1,1,0,0,2,Medium
underweight,omnivore,twice a day,walk/bicycle,sometimes,157,rarely,medium,3,20,5,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1074,1,1,1,1,4,0,0,1,1,1,3,Medium
overweight,vegetarian,daily,private,often,266,very frequently,large,1,3,5,6,Yes,[Paper],[Oven],4743,0,0,0,1,1,0,1,0,0,0,1,High
underweight,vegetarian,less frequently,public,sometimes,144,frequently,large,1,22,18,9,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1647,0,1,1,1,3,1,1,1,0,0,3,Medium
overweight,vegan,less frequently,private,never,56,rarely,medium,4,9,11,19,Sometimes,[],"['Grill', 'Airfryer']",1832,0,0,0,0,0,0,0,0,1,1,2,Low
underweight,vegan,more frequently,walk/bicycle,sometimes,59,very frequently,extra large,3,5,39,15,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2322,1,1,0,1,3,1,0,1,0,0,2,Low
obese,omnivore,daily,public,never,200,frequently,medium,3,3,31,15,Yes,[Glass],"['Microwave', 'Grill', 'Airfryer']",2494,0,1,0,0,1,0,0,1,1,1,3,Medium
overweight,pescatarian,daily,public,often,135,rarely,extra large,1,8,23,18,Sometimes,[Glass],"['Microwave', 'Grill', 'Airfryer']",1178,0,1,0,0,1,0,0,1,1,1,3,Medium
overweight,vegetarian,more frequently,public,never,146,never,extra large,4,12,27,21,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",1427,1,0,0,1,2,1,0,1,0,0,2,Medium
normal,vegetarian,more frequently,walk/bicycle,never,111,very frequently,medium,5,9,4,4,Sometimes,[],"['Stove', 'Oven', 'Microwave']",3226,0,0,0,0,0,1,1,1,0,0,3,Low
obese,omnivore,twice a day,walk/bicycle,often,114,rarely,large,3,18,27,4,Yes,[Plastic],[Stove],1593,1,0,0,0,1,1,0,0,0,0,1,Low
overweight,vegan,less frequently,private,sometimes,111,rarely,large,6,13,16,10,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1732,1,1,1,0,3,1,1,1,1,1,5,Low
underweight,pescatarian,less frequently,public,often,123,rarely,small,6,13,23,8,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",1743,1,0,1,1,3,1,1,0,0,0,2,Medium
underweight,vegetarian,less frequently,public,never,225,very frequently,small,6,9,24,15,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2101,1,1,1,1,4,1,1,0,0,0,2,Medium
overweight,pescatarian,more frequently,walk/bicycle,often,219,frequently,extra large,4,23,42,14,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2609,0,0,0,0,0,0,1,1,1,1,4,Medium
obese,pescatarian,daily,public,often,104,rarely,large,6,1,6,22,Yes,[Paper],"['Stove', 'Grill', 'Airfryer']",1565,0,0,0,1,1,1,0,0,1,1,3,Low
overweight,vegan,more frequently,private,often,126,very frequently,medium,2,6,37,9,Sometimes,[],[Stove],5272,0,0,0,0,0,1,0,0,0,0,1,Medium
underweight,omnivore,more frequently,walk/bicycle,often,288,never,small,4,15,22,6,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",1220,0,1,1,1,3,1,1,0,0,0,2,High
normal,pescatarian,less frequently,public,never,69,rarely,large,1,6,3,7,No,[Metal],"['Stove', 'Oven', 'Microwave']",1024,0,0,1,0,1,1,1,1,0,0,3,Low
overweight,omnivore,twice a day,walk/bicycle,sometimes,110,never,small,3,14,4,3,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",706,1,1,1,1,4,1,1,1,1,1,5,Low
normal,vegetarian,daily,private,often,165,frequently,small,4,17,24,20,Yes,"['Paper', 'Glass']",[Microwave],2582,0,1,0,1,2,0,0,1,0,0,1,Medium
underweight,pescatarian,daily,walk/bicycle,never,130,rarely,small,2,10,15,10,No,[Glass],"['Oven', 'Grill', 'Airfryer']",1490,0,1,0,0,1,0,1,0,1,1,3,Medium
underweight,omnivore,less frequently,public,never,258,frequently,small,2,13,44,4,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1561,0,1,1,0,2,0,1,1,1,1,4,High
obese,vegan,more frequently,public,sometimes,189,frequently,medium,4,23,34,10,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2202,0,1,1,0,2,0,0,1,1,1,3,Medium
underweight,vegetarian,daily,walk/bicycle,sometimes,262,frequently,large,5,24,8,15,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",2024,0,0,0,0,0,0,0,1,1,1,3,High
overweight,pescatarian,daily,walk/bicycle,never,157,frequently,medium,4,1,42,22,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1659,0,1,1,1,3,1,1,1,1,1,5,Medium
overweight,pescatarian,daily,private,often,280,very frequently,small,5,9,0,4,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3911,0,0,1,1,2,1,1,0,1,1,4,High
