ID,Transport,Vehicle Type,Frequency of Traveling by Air,Vehicle Monthly Distance Km
141,public,,frequently,1527
142,walk/bicycle,,frequently,88
143,walk/bicycle,,frequently,73
144,private,lpg,very frequently,8320
145,walk/bicycle,,never,72
146,walk/bicycle,,very frequently,9
147,walk/bicycle,,frequently,60
148,walk/bicycle,,frequently,75757
149,walk/bicycle,,rarely,32
150,walk/bicycle,,frequently,49
151,public,,very frequently,1351
152,public,,very frequently,1726
153,public,,never,1021
154,walk/bicycle,,rarely,62
155,private,electric,very frequently,9488
156,public,,very frequently,1037
157,private,electric,never,9555
158,private,diesel,never,9031
159,public,,frequently,1461
160,walk/bicycle,,very frequently,39
161,private,diesel,never,5033
162,public,,frequently,1065
163,public,,rarely,927
164,,hybrid,frequently,2277
165,,,rarely,12411
166,,lpg,frequently,7272
167,private,petrol,rarely,5260
168,public,,rarely,1750
169,private,hybrid,frequently,
170,private,lpg,rarely,
171,public,,rarely,
172,private,lpg,very frequently,4885
173,walk/bicycle,,frequently,20
174,walk/bicycle,,never,23
175,walk/bicycle,,frequently,34
176,walk/bicycle,,frequently,59
177,public,,never,682
178,walk/bicycle,,never,10
179,walk/bicycle,,very frequently,10
180,private,petrol,never,7964
181,private,hybrid,rarely,3606
182,public,,frequently,536
183,public,,rarely,1564
184,walk/bicycle,,frequently,78
185,walk/bicycle,,never,98
186,public,,very frequently,1820
187,,,never,243
188,,,very frequently,1586
189,,,frequently,11
190,walk/bicycle,,never,72
191,public,,never,1157
192,public,,never,1380
193,private,lpg,never,5765
194,walk/bicycle,,very frequently,92
195,private,lpg,frequently,7797
196,walk/bicycle,,very frequently,50
197,private,petrol,frequently,7629
198,private,petrol,frequently,2367
199,private,petrol,frequently,3960
200,walk/bicycle,,rarely,42
201,private,lpg,rarely,6455
202,walk/bicycle,,frequently,41
203,walk/bicycle,,never,71
204,walk/bicycle,,never,39
205,walk/bicycle,,very frequently,242356
206,private,electric,very frequently,8707
207,private,lpg,very frequently,167
208,public,,very frequently,631
209,public,,rarely,194
210,walk/bicycle,,rarely,46
211,walk/bicycle,,frequently,37
212,walk/bicycle,,rarely,31
213,private,lpg,never,2880
214,walk/bicycle,,never,6
215,walk/bicycle,,very frequently,40
216,walk/bicycle,,frequently,1
217,public,,never,1341
218,public,,very frequently,393
219,public,,frequently,191
220,public,,very frequently,131
221,private,diesel,very frequently,1419
222,private,electric,rarely,9159
223,,hybrid,never,8016
224,,,never,87
225,,,rarely,3
226,walk/bicycle,,frequently,13
227,walk/bicycle,,never,74
228,private,hybrid,frequently,7743
229,public,,never,993
230,public,,rarely,1997
231,private,electric,rarely,2721
232,walk/bicycle,,rarely,5
233,public,,rarely,10000
234,private,diesel,frequently,8815
235,private,electric,rarely,3276
236,private,hybrid,never,3309
237,private,hybrid,never,2623
238,private,diesel,very frequently,7915
239,private,lpg,frequently,8897
240,walk/bicycle,,never,19
241,private,electric,frequently,3662
242,private,petrol,never,611
243,public,,very frequently,1431
244,public,,never,1978
245,walk/bicycle,,very frequently,92
246,walk/bicycle,,frequently,82
247,public,,very frequently,1851
248,public,,rarely,1224
249,private,electric,never,8219
250,public,,never,1390
251,public,,frequently,434
252,private,hybrid,never,7460
253,walk/bicycle,,rarely,15
254,private,diesel,very frequently,4686
255,walk/bicycle,,never,88
256,walk/bicycle,,very frequently,40
257,walk/bicycle,,never,56
258,walk/bicycle,,very frequently,14
259,public,,very frequently,108
260,private,electric,never,5168
261,private,petrol,frequently,672
262,walk/bicycle,,very frequently,94
263,private,petrol,rarely,3114
264,private,lpg,rarely,7134
265,private,diesel,rarely,8609
266,public,,never,852
267,public,,rarely,1673
268,public,,very frequently,1564
269,walk/bicycle,,rarely,74
270,private,petrol,rarely,2885
271,private,petrol,rarely,8130
272,public,,very frequently,228
273,public,,never,1162
274,public,,never,71
275,private,diesel,frequently,6337
276,public,,rarely,1649
277,private,diesel,very frequently,6159
278,private,diesel,never,9884
279,private,hybrid,frequently,4060
280,walk/bicycle,,rarely,68
281,walk/bicycle,,very frequently,5
282,public,,rarely,702
283,walk/bicycle,,very frequently,2
284,walk/bicycle,,rarely,42
285,public,,never,274
286,public,,frequently,590
287,private,diesel,frequently,84
288,private,diesel,frequently,6908
289,walk/bicycle,,rarely,52
290,private,lpg,frequently,121
291,walk/bicycle,,rarely,30
292,,,rarely,1336
293,,,never,
294,public,,never,
295,walk/bicycle,,never,4
296,public,,rarely,1924
297,walk/bicycle,,never,64
298,private,electric,never,8659
299,walk/bicycle,,rarely,82
300,walk/bicycle,,very frequently,31
301,private,electric,rarely,5230
302,public,,frequently,450
303,public,,very frequently,441
304,private,lpg,rarely,6160
305,walk/bicycle,,frequently,35
306,walk/bicycle,,frequently,57
307,walk/bicycle,,very frequently,7
308,private,hybrid,frequently,5469
309,walk/bicycle,,frequently,6
310,private,diesel,very frequently,1419
311,private,electric,rarely,9159
312,private,hybrid,never,8016
313,walk/bicycle,,never,87
314,walk/bicycle,,rarely,3
315,walk/bicycle,,frequently,13
316,walk/bicycle,,never,74
317,private,hybrid,frequently,7743
318,public,,never,993
319,public,,rarely,1997
320,private,electric,rarely,2721
321,walk/bicycle,,rarely,5
322,public,,rarely,941
323,private,diesel,frequently,8815
324,private,electric,rarely,3276
325,private,hybrid,never,3309
326,private,hybrid,never,2623
327,private,diesel,very frequently,7915
328,private,lpg,frequently,8897
329,walk/bicycle,,never,19
330,private,electric,frequently,3662
331,private,petrol,never,611
332,public,,very frequently,1431
333,public,,never,1978
334,walk/bicycle,,very frequently,92
335,walk/bicycle,,frequently,82
336,public,,very frequently,1851
337,public,,rarely,1224
338,private,electric,never,8219
339,public,,never,1390
340,public,,frequently,434
341,private,hybrid,never,7460
342,walk/bicycle,,rarely,15
343,private,diesel,very frequently,4686
344,walk/bicycle,,never,88
345,walk/bicycle,,very frequently,40
346,walk/bicycle,,never,56
347,walk/bicycle,,very frequently,14
348,public,,very frequently,108
349,private,electric,never,12414
350,private,petrol,frequently,672
351,walk/bicycle,,very frequently,94
352,private,petrol,rarely,3114
353,private,lpg,rarely,7134
354,private,diesel,rarely,8609
355,public,,never,55532
356,public,,rarely,1673
357,public,,very frequently,1564
358,walk/bicycle,,rarely,74
359,private,petrol,rarely,2885
360,private,petrol,rarely,8130
361,public,,very frequently,228
362,public,,never,1162
363,public,,never,71
364,private,diesel,frequently,6337
365,public,,rarely,1649
366,private,diesel,very frequently,6159
367,private,diesel,never,9884
368,private,hybrid,frequently,4060
369,walk/bicycle,,rarely,68
370,walk/bicycle,,very frequently,5
371,public,,rarely,702
372,walk/bicycle,,very frequently,2
373,walk/bicycle,,rarely,42
374,public,,never,274
375,public,,frequently,590
376,private,diesel,frequently,84
377,private,diesel,frequently,6908
378,walk/bicycle,,rarely,52
379,private,lpg,frequently,121
380,walk/bicycle,,rarely,30
381,public,,rarely,1336
382,walk/bicycle,,never,89
383,public,,never,1412
384,walk/bicycle,,never,4
385,public,,rarely,1924
386,walk/bicycle,,never,64
387,private,electric,never,8659
388,walk/bicycle,,rarely,82
389,walk/bicycle,,very frequently,31
390,private,electric,rarely,5230
391,public,,frequently,450
392,public,,very frequently,441
393,private,lpg,rarely,6160
394,walk/bicycle,,frequently,35
395,walk/bicycle,,frequently,57
396,walk/bicycle,,very frequently,7
397,private,hybrid,frequently,5469
398,walk/bicycle,,frequently,6
399,public,,frequently,21
400,public,,rarely,1127
401,walk/bicycle,,never,7
402,private,electric,frequently,6028
403,private,lpg,rarely,1669
404,public,,never,1972
405,public,,never,684
406,walk/bicycle,,very frequently,13
407,private,lpg,very frequently,8061
408,private,lpg,never,2544
409,walk/bicycle,,rarely,46
410,public,,very frequently,62
411,private,electric,frequently,4447
412,private,diesel,rarely,4303
413,private,lpg,very frequently,3176
414,private,diesel,rarely,7255
415,walk/bicycle,,very frequently,62
416,private,petrol,very frequently,6254
417,walk/bicycle,,very frequently,93
418,walk/bicycle,,never,86
419,public,,rarely,357
420,private,petrol,very frequently,8725
421,public,,very frequently,1753
422,walk/bicycle,,very frequently,45
423,public,,rarely,292
424,public,,very frequently,1739
425,walk/bicycle,,frequently,2
426,walk/bicycle,,very frequently,38
427,public,,rarely,970
428,private,lpg,never,8616
429,public,,very frequently,635
430,private,electric,never,2914
431,walk/bicycle,,rarely,92
432,walk/bicycle,,never,67
433,private,diesel,frequently,6972
434,private,petrol,very frequently,9812
435,public,,very frequently,1057
436,private,lpg,rarely,3295
437,walk/bicycle,,frequently,97
438,private,electric,rarely,9705
439,private,diesel,rarely,3105
440,walk/bicycle,,never,6
441,walk/bicycle,,very frequently,34
442,public,,frequently,1328
443,public,,never,779
444,public,,rarely,913
445,private,electric,rarely,5464
446,private,diesel,never,3912
447,walk/bicycle,,rarely,89
448,private,hybrid,frequently,4359
449,private,diesel,rarely,7873
450,public,,rarely,374
451,public,,rarely,1218
452,walk/bicycle,,rarely,1
453,public,,never,638
454,private,hybrid,rarely,8641
455,walk/bicycle,,never,46
456,private,hybrid,rarely,2871
457,public,,very frequently,978
458,public,,very frequently,1585
459,walk/bicycle,,never,92
460,private,lpg,very frequently,4197
461,public,,frequently,199
462,public,,frequently,732
463,public,,frequently,584
464,public,,very frequently,476
465,public,,very frequently,1507
466,private,electric,rarely,6915
467,public,,rarely,133
468,walk/bicycle,,rarely,9
469,walk/bicycle,,never,34
470,private,electric,very frequently,9359
471,walk/bicycle,,never,62
472,public,,rarely,1681
473,walk/bicycle,,never,93
474,walk/bicycle,,very frequently,56
475,private,lpg,very frequently,3509
476,walk/bicycle,,rarely,37
477,private,lpg,very frequently,6731
478,public,,rarely,1388
479,private,electric,frequently,159
480,private,petrol,never,7976
481,public,,never,1032
482,public,,rarely,1351
483,public,,very frequently,436
484,private,lpg,rarely,4595
485,public,,never,770
486,public,,rarely,1632
487,public,,rarely,69
488,public,,never,1876
489,public,,never,158
490,public,,frequently,838
491,private,diesel,rarely,2723
492,public,,frequently,593
493,private,petrol,never,4910
494,walk/bicycle,,rarely,61
495,walk/bicycle,,rarely,54
496,private,diesel,rarely,4425
497,walk/bicycle,,very frequently,85
498,private,hybrid,rarely,7434
499,private,petrol,frequently,7258
500,walk/bicycle,,never,7
501,walk/bicycle,,frequently,74
502,walk/bicycle,,never,37
503,private,electric,never,1170
504,private,hybrid,never,6890
505,public,,rarely,506
506,walk/bicycle,,never,99
507,private,electric,never,1695
508,private,electric,frequently,5671
509,private,electric,never,8553
510,public,,rarely,1418
511,public,,rarely,382
512,private,lpg,never,5005
513,walk/bicycle,,very frequently,77
514,public,,rarely,194
515,public,,frequently,1446
516,walk/bicycle,,frequently,58
517,private,hybrid,rarely,7570
518,private,hybrid,rarely,8298
519,private,electric,very frequently,3216
520,private,lpg,rarely,9945
521,public,,never,499
522,public,,frequently,1426
523,private,electric,very frequently,95
524,private,diesel,very frequently,1467
525,public,,never,1172
526,public,,rarely,1212
527,walk/bicycle,,very frequently,99
528,private,hybrid,never,2787
529,walk/bicycle,,rarely,7
530,private,electric,frequently,3347
531,public,,frequently,1475
532,public,,very frequently,1873
533,public,,very frequently,1661
534,public,,frequently,774
535,public,,very frequently,1043
536,private,petrol,frequently,9006
537,walk/bicycle,,frequently,15
538,public,,never,1199
539,walk/bicycle,,frequently,20
540,private,diesel,rarely,4058
541,walk/bicycle,,frequently,95
542,walk/bicycle,,frequently,71
543,public,,very frequently,1603
544,public,,very frequently,1595
545,walk/bicycle,,frequently,92
546,walk/bicycle,,frequently,80
547,walk/bicycle,,frequently,21
548,walk/bicycle,,frequently,31
549,walk/bicycle,,very frequently,3
550,private,electric,never,2698
551,private,electric,never,1580
552,private,lpg,rarely,5541
553,private,petrol,rarely,7014
554,public,,very frequently,1122
555,private,petrol,never,1644
556,public,,rarely,1854
557,walk/bicycle,,very frequently,72
558,private,petrol,very frequently,4383
559,walk/bicycle,,frequently,69
560,private,petrol,never,5954
561,private,diesel,rarely,9258
562,private,electric,frequently,2041
563,private,electric,never,2033
564,public,,frequently,1958
565,walk/bicycle,,frequently,58
566,walk/bicycle,,frequently,92
567,walk/bicycle,,very frequently,93
568,private,electric,never,7926
569,public,,very frequently,1988
570,public,,frequently,757
571,private,hybrid,rarely,8497
572,walk/bicycle,,frequently,62
573,private,petrol,rarely,5323
574,walk/bicycle,,very frequently,17
575,public,,very frequently,5
576,public,,rarely,1997
577,private,lpg,frequently,7153
578,public,,never,1301
579,private,lpg,frequently,2864
580,private,hybrid,rarely,6029
581,private,electric,frequently,825
582,public,,very frequently,660
583,public,,very frequently,967
584,public,,rarely,1111
585,public,,very frequently,884
586,private,diesel,frequently,704
587,private,hybrid,rarely,2514
588,private,petrol,very frequently,3208
589,public,,very frequently,1954
590,walk/bicycle,,never,92
591,public,,rarely,1438
592,public,,frequently,1923
593,public,,frequently,846
594,walk/bicycle,,rarely,65
595,walk/bicycle,,frequently,41
596,public,,rarely,635
597,private,hybrid,never,9842
598,walk/bicycle,,frequently,77
599,private,petrol,never,7953
600,walk/bicycle,,frequently,48
601,walk/bicycle,,never,86
602,walk/bicycle,,frequently,18
603,walk/bicycle,,never,65
604,private,hybrid,frequently,1844
605,walk/bicycle,,rarely,91
606,public,,never,1749
607,private,lpg,very frequently,4397
608,public,,very frequently,1008
609,walk/bicycle,,very frequently,19
610,private,lpg,frequently,6419
611,walk/bicycle,,rarely,95
612,walk/bicycle,,frequently,8
613,private,lpg,very frequently,7008
614,public,,very frequently,1601
615,walk/bicycle,,never,0
616,private,electric,rarely,1072
617,public,,very frequently,695
618,walk/bicycle,,rarely,42
619,private,electric,rarely,9316
620,private,lpg,very frequently,9507
621,public,,frequently,1635
622,public,,very frequently,810
623,private,diesel,rarely,1899
624,public,,frequently,103
625,walk/bicycle,,frequently,71
626,walk/bicycle,,rarely,86
627,public,,never,818
628,private,lpg,very frequently,4809
629,walk/bicycle,,rarely,92
630,private,electric,frequently,3610
631,private,electric,rarely,5696
632,public,,never,1795
633,walk/bicycle,,very frequently,98
634,public,,very frequently,1895
635,public,,never,1321
636,public,,frequently,824
637,public,,frequently,984
638,walk/bicycle,,frequently,95
639,private,electric,rarely,9746
640,private,petrol,very frequently,3315
641,walk/bicycle,,rarely,32
642,private,petrol,very frequently,7885
643,walk/bicycle,,frequently,51
644,private,lpg,never,2916
645,walk/bicycle,,never,54
646,public,,never,1758
647,public,,frequently,1414
648,public,,never,479
649,walk/bicycle,,rarely,25
650,public,,rarely,575
651,public,,very frequently,23
652,public,,very frequently,1401
653,public,,never,197
654,public,,rarely,780
655,walk/bicycle,,frequently,22
656,walk/bicycle,,never,56
657,public,,very frequently,57
658,private,hybrid,very frequently,3805
659,private,lpg,never,7958
660,public,,never,137
661,walk/bicycle,,rarely,82
662,walk/bicycle,,frequently,8
663,public,,frequently,298
664,public,,never,308
665,private,lpg,rarely,8198
666,public,,very frequently,1092
667,walk/bicycle,,very frequently,20
668,walk/bicycle,,rarely,42
669,public,,very frequently,854
670,private,electric,rarely,1401
671,private,lpg,never,4293
672,private,diesel,very frequently,5235
673,walk/bicycle,,very frequently,42
674,public,,very frequently,317
675,public,,frequently,762
676,walk/bicycle,,very frequently,26
677,walk/bicycle,,rarely,99
678,walk/bicycle,,very frequently,0
679,walk/bicycle,,very frequently,70
680,walk/bicycle,,rarely,70
681,private,lpg,never,1771
682,public,,very frequently,1692
683,public,,never,909
684,walk/bicycle,,very frequently,81
685,private,lpg,frequently,8358
686,walk/bicycle,,very frequently,67
687,public,,frequently,1862
688,private,lpg,rarely,3800
689,public,,rarely,1287
690,public,,frequently,1320
691,private,lpg,rarely,7468
692,public,,never,480
693,public,,very frequently,1301
694,walk/bicycle,,frequently,50
695,public,,frequently,1598
696,public,,frequently,963
697,walk/bicycle,,very frequently,3
698,walk/bicycle,,frequently,42
699,private,lpg,rarely,732
700,walk/bicycle,,frequently,25
701,private,lpg,never,196
702,public,,rarely,638
703,walk/bicycle,,frequently,50
704,walk/bicycle,,never,16
705,private,hybrid,rarely,5393
706,walk/bicycle,,never,83
707,private,petrol,very frequently,7749
708,public,,very frequently,860
709,walk/bicycle,,never,65
710,private,hybrid,very frequently,2761
711,private,electric,very frequently,9445
712,public,,never,64
713,private,electric,never,6726
714,walk/bicycle,,frequently,81
715,walk/bicycle,,rarely,54
716,walk/bicycle,,very frequently,37
717,walk/bicycle,,very frequently,18
718,walk/bicycle,,never,70
719,public,,very frequently,203
720,private,diesel,rarely,5287
721,walk/bicycle,,very frequently,52
722,public,,very frequently,1934
723,walk/bicycle,,never,69
724,private,diesel,never,4306
725,public,,rarely,840
726,walk/bicycle,,never,53
727,public,,very frequently,1935
728,walk/bicycle,,frequently,32
729,private,diesel,very frequently,555
730,private,hybrid,very frequently,6898
731,public,,never,1643
732,walk/bicycle,,very frequently,57
733,public,,rarely,1850
734,public,,very frequently,1996
735,private,diesel,rarely,5413
736,walk/bicycle,,very frequently,6
737,public,,never,1727
738,walk/bicycle,,frequently,75
739,private,petrol,rarely,5499
740,private,lpg,never,8786
741,public,,never,1531
742,walk/bicycle,,never,50
743,private,hybrid,rarely,5310
744,walk/bicycle,,never,79
745,public,,very frequently,1215
746,private,hybrid,frequently,8809
747,walk/bicycle,,very frequently,46
748,private,electric,never,9285
749,walk/bicycle,,frequently,2
750,private,hybrid,very frequently,9352
751,private,electric,frequently,8920
752,walk/bicycle,,frequently,25
753,walk/bicycle,,very frequently,14
754,private,petrol,never,5278
755,walk/bicycle,,frequently,75
756,private,lpg,frequently,7148
757,walk/bicycle,,rarely,31
758,public,,frequently,2
759,walk/bicycle,,frequently,88
760,public,,rarely,342
761,public,,rarely,1962
762,private,lpg,very frequently,9014
763,public,,rarely,1557
764,public,,rarely,1537
765,public,,rarely,293
766,private,hybrid,very frequently,6180
767,walk/bicycle,,rarely,61
768,walk/bicycle,,frequently,11
769,walk/bicycle,,rarely,80
770,private,diesel,rarely,8717
771,public,,very frequently,1604
772,private,hybrid,very frequently,9050
773,walk/bicycle,,never,86
774,walk/bicycle,,never,21
775,private,hybrid,very frequently,1760
776,public,,rarely,631
777,public,,never,755
778,walk/bicycle,,frequently,1
779,private,lpg,very frequently,6482
780,walk/bicycle,,rarely,76
781,public,,frequently,1795
782,public,,frequently,311
783,public,,rarely,1959
784,walk/bicycle,,never,52
785,walk/bicycle,,very frequently,14
786,public,,never,649
787,walk/bicycle,,never,69
788,walk/bicycle,,never,29
789,walk/bicycle,,very frequently,96
790,walk/bicycle,,never,50
791,private,petrol,very frequently,1614
792,public,,frequently,601
793,private,lpg,rarely,4215
794,public,,rarely,1890
795,public,,very frequently,909
796,public,,very frequently,1046
797,public,,very frequently,1394
798,walk/bicycle,,very frequently,15
799,private,lpg,never,6127
800,walk/bicycle,,never,98
801,public,,never,1372
802,public,,very frequently,1978
803,public,,never,1108
804,public,,rarely,1957
805,public,,very frequently,3
806,public,,frequently,415
807,public,,rarely,1818
808,public,,never,639
809,public,,rarely,388
810,public,,frequently,804
811,private,diesel,never,4084
812,walk/bicycle,,rarely,30
813,public,,rarely,1488
814,public,,rarely,447
815,public,,rarely,1476
816,public,,never,1368
817,walk/bicycle,,very frequently,8
818,public,,never,1227
819,public,,frequently,1597
820,public,,never,574
821,walk/bicycle,,frequently,19
822,walk/bicycle,,frequently,73
823,public,,frequently,338
824,public,,never,1527
825,walk/bicycle,,never,95
826,walk/bicycle,,never,69
827,private,lpg,rarely,2266
828,public,,never,885
829,walk/bicycle,,rarely,56
830,public,,rarely,1370
831,walk/bicycle,,very frequently,42
832,walk/bicycle,,never,5
833,walk/bicycle,,frequently,13
834,private,hybrid,rarely,3849
835,walk/bicycle,,very frequently,50
836,walk/bicycle,,frequently,50
837,walk/bicycle,,very frequently,3
838,private,diesel,rarely,9445
839,private,diesel,very frequently,4197
840,public,,never,600
841,private,hybrid,rarely,1720
842,public,,very frequently,1890
843,private,petrol,very frequently,601
844,private,electric,very frequently,6894
845,public,,frequently,636
846,public,,very frequently,1201
847,walk/bicycle,,rarely,48
848,private,electric,very frequently,5442
849,public,,frequently,236
850,private,lpg,very frequently,3388
851,public,,frequently,1084
852,walk/bicycle,,very frequently,95
853,private,diesel,never,5698
854,public,,rarely,780
855,walk/bicycle,,very frequently,2
856,walk/bicycle,,rarely,75
857,public,,never,495
858,walk/bicycle,,rarely,95
859,walk/bicycle,,very frequently,43
860,private,hybrid,frequently,6716
861,public,,never,1840
862,public,,frequently,1386
863,private,diesel,very frequently,3717
864,walk/bicycle,,very frequently,71
865,walk/bicycle,,rarely,46
866,walk/bicycle,,frequently,85
867,private,hybrid,frequently,3745
868,walk/bicycle,,very frequently,78
869,public,,rarely,1046
870,private,diesel,frequently,9915
871,private,diesel,never,1181
872,private,lpg,frequently,4044
873,walk/bicycle,,rarely,1
874,public,,very frequently,983
875,private,electric,never,5151
876,public,,rarely,810
877,private,electric,rarely,5711
878,private,hybrid,frequently,4670
879,private,hybrid,rarely,6862
880,private,petrol,rarely,8095
881,walk/bicycle,,very frequently,18
882,public,,very frequently,1780
883,private,diesel,never,2764
884,private,hybrid,never,2061
885,private,electric,very frequently,8886
886,private,lpg,rarely,1703
887,public,,very frequently,1479
888,public,,frequently,1751
889,walk/bicycle,,rarely,58
890,walk/bicycle,,very frequently,6
891,walk/bicycle,,never,64
892,private,lpg,never,543
893,walk/bicycle,,rarely,20
894,walk/bicycle,,very frequently,67
895,walk/bicycle,,very frequently,52
896,walk/bicycle,,never,59
897,private,hybrid,never,7896
898,walk/bicycle,,frequently,78
899,private,lpg,rarely,5270
900,private,petrol,frequently,1312
901,public,,rarely,848
902,public,,frequently,718
903,private,electric,frequently,8798
904,public,,never,575
905,public,,rarely,1838
906,public,,never,1279
907,private,petrol,never,9313
908,walk/bicycle,,very frequently,41
909,public,,never,1282
910,private,petrol,very frequently,6938
911,private,electric,never,5140
912,private,hybrid,rarely,1545
913,walk/bicycle,,never,78
914,public,,very frequently,1483
915,private,lpg,very frequently,9964
916,walk/bicycle,,never,51
917,walk/bicycle,,rarely,13
918,walk/bicycle,,never,75
919,walk/bicycle,,never,97
920,public,,rarely,94
921,public,,rarely,975
922,walk/bicycle,,frequently,4
923,walk/bicycle,,never,69
924,private,petrol,frequently,3430
925,private,lpg,frequently,7993
926,private,diesel,very frequently,4870
927,walk/bicycle,,frequently,21
928,walk/bicycle,,very frequently,31
929,walk/bicycle,,rarely,89
930,public,,very frequently,1417
931,walk/bicycle,,rarely,57
932,private,electric,frequently,9123
933,private,lpg,very frequently,9070
934,walk/bicycle,,very frequently,41
935,walk/bicycle,,rarely,2
936,walk/bicycle,,never,99
937,public,,very frequently,1323
938,private,diesel,rarely,274
939,walk/bicycle,,frequently,16
940,private,lpg,never,8390
941,private,diesel,rarely,3379
942,walk/bicycle,,rarely,98
943,walk/bicycle,,frequently,67
944,walk/bicycle,,very frequently,51
945,private,hybrid,never,2215
946,public,,frequently,995
947,walk/bicycle,,never,82
948,public,,rarely,1405
949,private,electric,never,9206
950,walk/bicycle,,rarely,31
951,private,petrol,rarely,5475
952,walk/bicycle,,very frequently,82
953,private,diesel,rarely,9663
954,public,,frequently,1436
955,walk/bicycle,,never,76
956,public,,very frequently,1253
957,walk/bicycle,,frequently,65
958,public,,rarely,500
959,walk/bicycle,,never,43
960,private,diesel,very frequently,5774
961,private,electric,never,2062
962,public,,rarely,18
963,private,petrol,never,1741
964,walk/bicycle,,frequently,63
965,private,diesel,frequently,5307
966,public,,rarely,1984
967,private,diesel,very frequently,7952
968,walk/bicycle,,rarely,93
969,walk/bicycle,,very frequently,29
970,private,hybrid,rarely,2073
971,private,electric,frequently,9371
972,walk/bicycle,,never,7
973,walk/bicycle,,very frequently,36
974,walk/bicycle,,never,35
975,public,,very frequently,1787
